compound,name,negative,neutral,positive,ticker
0.9979,REBGLO,0.015,0.902,0.083,PT
-0.9979,REBGLO,0.064,0.889,0.047,PT
0.9984,REBGLO,0.03,0.883,0.087,PT
0.9956,REBGLO,0.017,0.912,0.072,PT
0.8313,REBGLO,0.0,0.882,0.118,PT
0.9999,REBGLO,0.018,0.755,0.227,PT
0.9965,REBGLO,0.026,0.881,0.093,PT
0.914,REBGLO,0.001,0.993,0.006,PT
0.4455,REBGLO,0.063,0.843,0.094,PT
0.9763,REBGLO,0.019,0.92,0.061,PT
-0.9826,REBGLO,0.082,0.859,0.059,PT
0.9942,REBGLO,0.008,0.898,0.094,PT
0.8313,REBGLO,0.0,0.89,0.11,PT
0.9941,REBGLO,0.009,0.944,0.047,PT
