compound,name,negative,neutral,positive,ticker
0.9659,REBGLO,0.01,0.91,0.08,QTUM
0.9775,REBGLO,0.03,0.909,0.061,QTUM
0.8316,REBGLO,0.016,0.92,0.064,QTUM
0.8481,REBGLO,0.026,0.908,0.066,QTUM
0.9001,REBGLO,0.022,0.907,0.071,QTUM
0.9887,REBGLO,0.005,0.884,0.111,QTUM
0.4995,REBGLO,0.0,0.976,0.024,QTUM
0.8481,REBGLO,0.029,0.896,0.075,QTUM
0.9935,REBGLO,0.022,0.899,0.08,QTUM
0.9676,REBGLO,0.042,0.842,0.115,QTUM
-0.0772,REBGLO,0.023,0.957,0.02,QTUM
0.4374,REBGLO,0.0,0.963,0.037,QTUM
0.0,REBGLO,0.0,1.0,0.0,QTUM
0.128,REBGLO,0.024,0.947,0.029,QTUM
0.9949,REBGLO,0.043,0.808,0.149,QTUM
0.9701,REBGLO,0.01,0.936,0.054,QTUM
0.7603,REBGLO,0.005,0.977,0.019,QTUM
-0.2268,REBGLO,0.079,0.852,0.07,QTUM
0.4995,REBGLO,0.0,0.976,0.024,QTUM
0.9945,REBGLO,0.041,0.814,0.145,QTUM
0.5719,REBGLO,0.0,0.988,0.012,QTUM
-0.3612,REBGLO,0.015,0.978,0.007,QTUM
0.9847,REBGLO,0.005,0.905,0.09,QTUM
0.9948,REBGLO,0.041,0.813,0.146,QTUM
0.937,REBGLO,0.041,0.886,0.072,QTUM
0.9852,REBGLO,0.0,0.908,0.092,QTUM
-0.4753,REBGLO,0.096,0.841,0.063,QTUM
0.4995,REBGLO,0.0,0.976,0.024,QTUM
0.9423,REBGLO,0.007,0.921,0.072,QTUM
0.9423,REBGLO,0.007,0.921,0.072,QTUM
0.9186,REBGLO,0.013,0.922,0.065,QTUM
0.9552,REBGLO,0.016,0.926,0.058,QTUM
0.959,REBGLO,0.006,0.92,0.074,QTUM
0.923,REBGLO,0.043,0.875,0.082,QTUM
