compound,name,negative,neutral,positive,ticker
0.6224,REBGLO,0.083,0.806,0.111,RAC
-0.9999,REBGLO,0.137,0.772,0.091,RAC
0.354,REBGLO,0.071,0.85,0.079,RAC
-0.9977,REBGLO,0.091,0.862,0.047,RAC
-0.9864,REBGLO,0.155,0.79,0.055,RAC
0.9907,REBGLO,0.024,0.919,0.057,RAC
-0.9999,REBGLO,0.139,0.774,0.086,RAC
0.5803,REBGLO,0.024,0.941,0.035,RAC
-0.9964,REBGLO,0.098,0.806,0.095,RAC
-0.9964,REBGLO,0.098,0.806,0.095,RAC
0.9809,REBGLO,0.05,0.855,0.095,RAC
0.9674,REBGLO,0.054,0.834,0.112,RAC
-0.9998,REBGLO,0.099,0.822,0.079,RAC
-0.9893,REBGLO,0.099,0.807,0.094,RAC
-0.9893,REBGLO,0.099,0.807,0.094,RAC
-0.9998,REBGLO,0.099,0.822,0.079,RAC
0.855,REBGLO,0.048,0.775,0.177,RAC
