compound,name,negative,neutral,positive,ticker
0.9996,REBGLO,0.074,0.817,0.109,RCC
0.9038,REBGLO,0.019,0.903,0.078,RCC
0.9162,REBGLO,0.044,0.848,0.108,RCC
0.7885,REBGLO,0.066,0.807,0.127,RCC
0.4767,REBGLO,0.038,0.844,0.118,RCC
0.9138,REBGLO,0.029,0.851,0.12,RCC
0.8641,REBGLO,0.029,0.818,0.153,RCC
0.965,REBGLO,0.017,0.883,0.1,RCC
0.1531,REBGLO,0.0,0.909,0.091,RCC
0.9154,REBGLO,0.051,0.871,0.078,RCC
0.7479,REBGLO,0.045,0.882,0.073,RCC
0.8861,REBGLO,0.0,0.906,0.094,RCC
0.9664,REBGLO,0.015,0.902,0.083,RCC
0.967,REBGLO,0.032,0.825,0.143,RCC
0.9438,REBGLO,0.032,0.87,0.098,RCC
0.8621,REBGLO,0.038,0.869,0.093,RCC
-0.9992,REBGLO,0.139,0.767,0.094,RCC
0.9984,REBGLO,0.046,0.844,0.109,RCC
0.9565,REBGLO,0.051,0.751,0.197,RCC
0.9942,REBGLO,0.052,0.86,0.088,RCC
0.9977,REBGLO,0.021,0.779,0.199,RCC
0.8906,REBGLO,0.022,0.904,0.074,RCC
0.9797,REBGLO,0.01,0.843,0.146,RCC
0.998,REBGLO,0.089,0.752,0.16,RCC
0.5553,REBGLO,0.068,0.854,0.078,RCC
-0.9997,REBGLO,0.064,0.897,0.038,RCC
1.0,REBGLO,0.054,0.795,0.151,RCC
0.9381,REBGLO,0.064,0.847,0.089,RCC
0.9738,REBGLO,0.051,0.766,0.182,RCC
0.9888,REBGLO,0.015,0.872,0.113,RCC
0.9589,REBGLO,0.036,0.874,0.09,RCC
0.9743,REBGLO,0.027,0.834,0.138,RCC
0.0828,REBGLO,0.05,0.899,0.052,RCC
0.9938,REBGLO,0.012,0.854,0.134,RCC
-0.9964,REBGLO,0.098,0.806,0.095,RCC
-0.9964,REBGLO,0.098,0.806,0.095,RCC
0.9951,REBGLO,0.057,0.852,0.091,RCC
-0.8725,REBGLO,0.078,0.841,0.081,RCC
0.9456,REBGLO,0.0,0.839,0.161,RCC
0.9847,REBGLO,0.0,0.831,0.169,RCC
0.9889,REBGLO,0.0,0.801,0.199,RCC
0.9814,REBGLO,0.033,0.834,0.134,RCC
0.9783,REBGLO,0.048,0.847,0.105,RCC
0.9884,REBGLO,0.0,0.815,0.185,RCC
0.9996,REBGLO,0.047,0.841,0.112,RCC
0.9829,REBGLO,0.018,0.873,0.109,RCC
-0.9954,REBGLO,0.059,0.895,0.046,RCC
0.9792,REBGLO,0.077,0.793,0.13,RCC
