compound,name,negative,neutral,positive,ticker
0.9855,REBGLO,0.053,0.758,0.189,REFER
-0.8978,REBGLO,0.057,0.924,0.018,REFER
0.5622,REBGLO,0.013,0.966,0.021,REFER
0.9994,REBGLO,0.009,0.938,0.053,REFER
0.9966,REBGLO,0.067,0.754,0.179,REFER
0.9774,REBGLO,0.02,0.84,0.14,REFER
0.0516,REBGLO,0.046,0.895,0.059,REFER
0.9957,REBGLO,0.011,0.833,0.156,REFER
0.999,REBGLO,0.042,0.855,0.102,REFER
0.7717,REBGLO,0.0,0.974,0.026,REFER
0.4824,REBGLO,0.014,0.967,0.019,REFER
0.7125,REBGLO,0.015,0.959,0.026,REFER
0.997,REBGLO,0.0,0.878,0.122,REFER
-1.0,REBGLO,0.153,0.766,0.081,REFER
1.0,REBGLO,0.053,0.852,0.094,REFER
0.9992,REBGLO,0.035,0.866,0.099,REFER
0.9996,REBGLO,0.007,0.853,0.139,REFER
0.9996,REBGLO,0.007,0.853,0.139,REFER
0.4377,REBGLO,0.041,0.886,0.072,REFER
0.34,REBGLO,0.024,0.929,0.046,REFER
-0.9925,REBGLO,0.077,0.855,0.067,REFER
0.7125,REBGLO,0.014,0.962,0.024,REFER
0.8286,REBGLO,0.0,0.981,0.019,REFER
0.7003,REBGLO,0.034,0.82,0.146,REFER
-1.0,REBGLO,0.089,0.883,0.029,REFER
0.947,REBGLO,0.008,0.913,0.079,REFER
0.9921,REBGLO,0.007,0.927,0.067,REFER
0.9929,REBGLO,0.007,0.926,0.067,REFER
0.7297,REBGLO,0.014,0.96,0.026,REFER
0.368,REBGLO,0.023,0.953,0.024,REFER
0.694,REBGLO,0.018,0.954,0.028,REFER
0.2342,REBGLO,0.019,0.962,0.019,REFER
0.9994,REBGLO,0.02,0.825,0.155,REFER
0.9967,REBGLO,0.006,0.843,0.15,REFER
0.7717,REBGLO,0.0,0.973,0.027,REFER
0.997,REBGLO,0.004,0.827,0.168,REFER
0.9921,REBGLO,0.007,0.926,0.067,REFER
0.9915,REBGLO,0.0,0.867,0.133,REFER
0.9956,REBGLO,0.07,0.761,0.169,REFER
0.9859,REBGLO,0.035,0.88,0.086,REFER
0.9989,REBGLO,0.026,0.762,0.212,REFER
-0.44,REBGLO,0.11,0.789,0.101,REFER
0.9919,REBGLO,0.0,0.866,0.134,REFER
0.7332,REBGLO,0.069,0.852,0.078,REFER
0.997,REBGLO,0.004,0.827,0.168,REFER
-0.0173,REBGLO,0.023,0.956,0.021,REFER
0.6523,REBGLO,0.01,0.97,0.02,REFER
0.4824,REBGLO,0.014,0.967,0.019,REFER
0.7125,REBGLO,0.014,0.961,0.025,REFER
0.4588,REBGLO,0.0,0.842,0.158,REFER
0.9931,REBGLO,0.007,0.922,0.071,REFER
0.9937,REBGLO,0.039,0.874,0.087,REFER
0.9612,REBGLO,0.044,0.86,0.096,REFER
0.9939,REBGLO,0.039,0.873,0.088,REFER
0.7125,REBGLO,0.013,0.964,0.023,REFER
0.7125,REBGLO,0.014,0.962,0.024,REFER
0.7297,REBGLO,0.014,0.959,0.027,REFER
-0.0688,REBGLO,0.021,0.962,0.017,REFER
0.6523,REBGLO,0.009,0.972,0.019,REFER
0.7983,REBGLO,0.009,0.968,0.023,REFER
0.9788,REBGLO,0.074,0.82,0.106,REFER
0.9959,REBGLO,0.022,0.85,0.128,REFER
0.9952,REBGLO,0.003,0.845,0.152,REFER
0.9768,REBGLO,0.0,0.844,0.156,REFER
0.9911,REBGLO,0.016,0.769,0.215,REFER
0.9997,REBGLO,0.026,0.792,0.182,REFER
0.9944,REBGLO,0.019,0.829,0.152,REFER
0.9974,REBGLO,0.018,0.761,0.221,REFER
0.7881,REBGLO,0.112,0.577,0.311,REFER
0.9508,REBGLO,0.07,0.704,0.226,REFER
0.9849,REBGLO,0.036,0.838,0.126,REFER
0.9997,REBGLO,0.036,0.842,0.122,REFER
0.9912,REBGLO,0.008,0.91,0.082,REFER
0.9964,REBGLO,0.061,0.829,0.11,REFER
0.9959,REBGLO,0.061,0.843,0.096,REFER
0.936,REBGLO,0.0,0.789,0.211,REFER
0.2342,REBGLO,0.02,0.961,0.019,REFER
0.2342,REBGLO,0.019,0.962,0.019,REFER
0.5917,REBGLO,0.064,0.864,0.072,REFER
0.9928,REBGLO,0.032,0.758,0.21,REFER
0.9994,REBGLO,0.041,0.761,0.198,REFER
0.3205,REBGLO,0.055,0.835,0.11,REFER
0.964,REBGLO,0.08,0.826,0.094,REFER
0.9959,REBGLO,0.022,0.85,0.128,REFER
0.9768,REBGLO,0.0,0.845,0.155,REFER
0.9067,REBGLO,0.064,0.836,0.1,REFER
0.9721,REBGLO,0.024,0.875,0.101,REFER
0.9989,REBGLO,0.014,0.814,0.172,REFER
0.0,REBGLO,0.0,1.0,0.0,REFER
0.824,REBGLO,0.009,0.964,0.027,REFER
0.6229,REBGLO,0.0,0.898,0.102,REFER
0.9768,REBGLO,0.0,0.845,0.155,REFER
0.6408,REBGLO,0.019,0.955,0.026,REFER
-0.9596,REBGLO,0.084,0.864,0.052,REFER
0.5904,REBGLO,0.015,0.96,0.025,REFER
0.7983,REBGLO,0.01,0.965,0.025,REFER
0.8986,REBGLO,0.004,0.969,0.027,REFER
0.7603,REBGLO,0.005,0.976,0.019,REFER
0.9999,REBGLO,0.007,0.813,0.181,REFER
0.9955,REBGLO,0.021,0.877,0.102,REFER
