compound,name,negative,neutral,positive,ticker
0.9789,REBGLO,0.007,0.89,0.103,REP
0.7518,REBGLO,0.074,0.83,0.097,REP
0.9982,REBGLO,0.086,0.787,0.127,REP
0.7518,REBGLO,0.074,0.83,0.097,REP
0.9844,REBGLO,0.014,0.841,0.145,REP
0.9994,REBGLO,0.024,0.87,0.106,REP
0.4995,REBGLO,0.0,0.976,0.024,REP
0.6908,REBGLO,0.0,0.749,0.251,REP
0.9994,REBGLO,0.027,0.86,0.113,REP
-0.9997,REBGLO,0.064,0.897,0.038,REP
0.9907,REBGLO,0.024,0.919,0.057,REP
-0.3382,REBGLO,0.073,0.867,0.06,REP
0.9979,REBGLO,0.005,0.978,0.017,REP
1.0,REBGLO,0.054,0.795,0.151,REP
0.9998,REBGLO,0.056,0.849,0.095,REP
0.9984,REBGLO,0.023,0.824,0.153,REP
0.9985,REBGLO,0.023,0.823,0.154,REP
0.9676,REBGLO,0.042,0.842,0.115,REP
0.5719,REBGLO,0.0,0.989,0.011,REP
-0.9599,REBGLO,0.073,0.909,0.018,REP
0.7518,REBGLO,0.074,0.83,0.097,REP
0.9993,REBGLO,0.073,0.825,0.102,REP
0.7516,REBGLO,0.016,0.922,0.062,REP
0.8187,REBGLO,0.028,0.879,0.093,REP
0.4995,REBGLO,0.0,0.976,0.024,REP
0.9071,REBGLO,0.011,0.949,0.04,REP
0.9995,REBGLO,0.057,0.812,0.131,REP
0.9578,REBGLO,0.004,0.915,0.081,REP
0.9497,REBGLO,0.007,0.921,0.072,REP
0.8176,REBGLO,0.012,0.897,0.091,REP
0.9153,REBGLO,0.009,0.894,0.097,REP
0.9274,REBGLO,0.015,0.902,0.084,REP
0.9738,REBGLO,0.0,0.902,0.098,REP
0.9153,REBGLO,0.009,0.894,0.097,REP
0.9081,REBGLO,0.023,0.895,0.083,REP
0.0,REBGLO,0.0,1.0,0.0,REP
0.9791,REBGLO,0.011,0.909,0.08,REP
0.9791,REBGLO,0.011,0.908,0.081,REP
0.8779,REBGLO,0.0,0.933,0.067,REP
0.0,REBGLO,0.0,1.0,0.0,REP
0.8779,REBGLO,0.0,0.932,0.068,REP
0.0,REBGLO,0.0,1.0,0.0,REP
0.9274,REBGLO,0.014,0.907,0.079,REP
0.9989,REBGLO,0.035,0.847,0.117,REP
0.9325,REBGLO,0.008,0.892,0.1,REP
0.9637,REBGLO,0.067,0.813,0.12,REP
0.8957,REBGLO,0.005,0.935,0.06,REP
0.9274,REBGLO,0.015,0.902,0.083,REP
0.9638,REBGLO,0.013,0.895,0.092,REP
0.4995,REBGLO,0.0,0.976,0.024,REP
-0.9954,REBGLO,0.059,0.895,0.046,REP
0.9958,REBGLO,0.043,0.88,0.077,REP
0.9773,REBGLO,0.014,0.859,0.127,REP
0.8074,REBGLO,0.012,0.916,0.072,REP
1.0,REBGLO,0.054,0.793,0.153,REP
-0.9998,REBGLO,0.109,0.801,0.091,REP
1.0,REBGLO,0.054,0.793,0.153,REP
0.9919,REBGLO,0.008,0.902,0.091,REP
0.9874,REBGLO,0.008,0.911,0.081,REP
0.128,REBGLO,0.0,0.941,0.059,REP
0.128,REBGLO,0.0,0.941,0.059,REP
0.9972,REBGLO,0.068,0.767,0.165,REP
0.9915,REBGLO,0.043,0.811,0.146,REP
-0.8779,REBGLO,0.084,0.845,0.071,REP
-0.9998,REBGLO,0.109,0.801,0.091,REP
