compound,name,negative,neutral,positive,ticker
0.7676,REBGLO,0.005,0.989,0.006,RTC
-0.9979,REBGLO,0.064,0.889,0.047,RTC
0.9979,REBGLO,0.005,0.978,0.017,RTC
-0.9997,REBGLO,0.088,0.888,0.024,RTC
0.9981,REBGLO,0.015,0.95,0.035,RTC
0.9892,REBGLO,0.016,0.888,0.097,RTC
0.9218,REBGLO,0.039,0.878,0.083,RTC
0.9119,REBGLO,0.036,0.917,0.046,RTC
-0.9998,REBGLO,0.091,0.885,0.024,RTC
-0.9434,REBGLO,0.025,0.961,0.014,RTC
0.9999,REBGLO,0.031,0.881,0.088,RTC
0.9785,REBGLO,0.025,0.944,0.031,RTC
-0.2023,REBGLO,0.007,0.987,0.005,RTC
0.9648,REBGLO,0.039,0.862,0.099,RTC
-0.9986,REBGLO,0.042,0.935,0.023,RTC
0.9941,REBGLO,0.009,0.944,0.047,RTC
