compound,name,negative,neutral,positive,ticker
-0.9792,REBGLO,0.105,0.839,0.056,SAM
-1.0,REBGLO,0.089,0.883,0.029,SAM
0.996,REBGLO,0.005,0.902,0.093,SAM
-0.9999,REBGLO,0.137,0.772,0.091,SAM
0.9956,REBGLO,0.005,0.899,0.095,SAM
-0.9992,REBGLO,0.139,0.767,0.094,SAM
0.4751,REBGLO,0.077,0.847,0.076,SAM
-0.8164,REBGLO,0.065,0.905,0.03,SAM
0.6486,REBGLO,0.023,0.929,0.048,SAM
-0.128,REBGLO,0.071,0.865,0.064,SAM
0.9041,REBGLO,0.059,0.873,0.068,SAM
0.7945,REBGLO,0.073,0.849,0.079,SAM
0.9879,REBGLO,0.0,0.888,0.112,SAM
0.9945,REBGLO,0.044,0.844,0.112,SAM
0.9636,REBGLO,0.041,0.891,0.068,SAM
-0.5994,REBGLO,0.071,0.929,0.0,SAM
0.9985,REBGLO,0.056,0.79,0.154,SAM
0.9999,REBGLO,0.021,0.881,0.097,SAM
-0.6326,REBGLO,0.122,0.834,0.044,SAM
-0.7152,REBGLO,0.249,0.751,0.0,SAM
-0.8885,REBGLO,0.099,0.849,0.052,SAM
0.9909,REBGLO,0.007,0.923,0.07,SAM
0.9919,REBGLO,0.007,0.923,0.07,SAM
0.9895,REBGLO,0.01,0.923,0.068,SAM
0.9891,REBGLO,0.01,0.921,0.069,SAM
0.9891,REBGLO,0.01,0.922,0.068,SAM
-0.3343,REBGLO,0.111,0.8,0.089,SAM
0.9898,REBGLO,0.01,0.918,0.071,SAM
0.9909,REBGLO,0.008,0.916,0.077,SAM
0.9954,REBGLO,0.006,0.889,0.105,SAM
-0.593,REBGLO,0.13,0.746,0.124,SAM
0.9687,REBGLO,0.065,0.843,0.093,SAM
0.9944,REBGLO,0.051,0.813,0.136,SAM
-0.2552,REBGLO,0.038,0.926,0.036,SAM
0.9701,REBGLO,0.01,0.936,0.054,SAM
0.9538,REBGLO,0.026,0.868,0.106,SAM
0.9909,REBGLO,0.008,0.916,0.077,SAM
0.9664,REBGLO,0.041,0.887,0.072,SAM
0.9855,REBGLO,0.008,0.927,0.065,SAM
-0.8846,REBGLO,0.071,0.898,0.031,SAM
-0.9964,REBGLO,0.098,0.806,0.095,SAM
-0.9964,REBGLO,0.098,0.806,0.095,SAM
0.9987,REBGLO,0.034,0.859,0.108,SAM
0.997,REBGLO,0.019,0.857,0.124,SAM
0.4745,REBGLO,0.119,0.751,0.13,SAM
0.9181,REBGLO,0.061,0.841,0.098,SAM
0.9766,REBGLO,0.005,0.93,0.065,SAM
0.969,REBGLO,0.018,0.941,0.041,SAM
-0.8268,REBGLO,0.342,0.576,0.081,SAM
0.9702,REBGLO,0.041,0.889,0.07,SAM
0.9478,REBGLO,0.109,0.723,0.168,SAM
-0.8805,REBGLO,0.117,0.861,0.023,SAM
0.9216,REBGLO,0.049,0.875,0.077,SAM
0.9468,REBGLO,0.053,0.854,0.093,SAM
0.9948,REBGLO,0.061,0.822,0.117,SAM
-0.9954,REBGLO,0.059,0.895,0.046,SAM
0.9846,REBGLO,0.014,0.883,0.104,SAM
0.0407,REBGLO,0.08,0.828,0.092,SAM
-0.7812,REBGLO,0.051,0.92,0.029,SAM
-0.9848,REBGLO,0.124,0.797,0.078,SAM
0.9931,REBGLO,0.017,0.839,0.144,SAM
-0.9998,REBGLO,0.099,0.822,0.079,SAM
0.9648,REBGLO,0.039,0.862,0.099,SAM
0.9914,REBGLO,0.008,0.855,0.137,SAM
0.9919,REBGLO,0.008,0.902,0.091,SAM
-0.9998,REBGLO,0.099,0.822,0.079,SAM
0.9874,REBGLO,0.008,0.911,0.081,SAM
0.9763,REBGLO,0.019,0.92,0.061,SAM
0.9999,REBGLO,0.024,0.867,0.109,SAM
0.992,REBGLO,0.038,0.86,0.101,SAM
-0.6625,REBGLO,0.062,0.885,0.053,SAM
0.9884,REBGLO,0.006,0.913,0.081,SAM
0.9943,REBGLO,0.024,0.871,0.105,SAM
0.0,REBGLO,0.0,1.0,0.0,SAM
