compound,name,negative,neutral,positive,ticker
0.9996,REBGLO,0.074,0.817,0.109,SAN
0.995,REBGLO,0.032,0.808,0.16,SAN
0.995,REBGLO,0.032,0.807,0.161,SAN
0.9929,REBGLO,0.038,0.797,0.165,SAN
0.995,REBGLO,0.032,0.811,0.158,SAN
0.8316,REBGLO,0.016,0.92,0.064,SAN
0.9999,REBGLO,0.015,0.856,0.128,SAN
0.9873,REBGLO,0.022,0.826,0.152,SAN
-0.1476,REBGLO,0.056,0.891,0.053,SAN
0.9978,REBGLO,0.057,0.819,0.124,SAN
0.9978,REBGLO,0.058,0.817,0.125,SAN
0.9922,REBGLO,0.056,0.845,0.099,SAN
-0.1476,REBGLO,0.056,0.891,0.053,SAN
0.9978,REBGLO,0.056,0.822,0.122,SAN
0.9977,REBGLO,0.058,0.819,0.123,SAN
0.9978,REBGLO,0.056,0.822,0.122,SAN
0.9935,REBGLO,0.037,0.866,0.097,SAN
0.25,REBGLO,0.0,0.857,0.143,SAN
0.9895,REBGLO,0.0,0.836,0.164,SAN
0.9001,REBGLO,0.022,0.907,0.071,SAN
0.9978,REBGLO,0.056,0.821,0.123,SAN
0.9968,REBGLO,0.062,0.813,0.126,SAN
-0.9977,REBGLO,0.091,0.862,0.047,SAN
1.0,REBGLO,0.027,0.826,0.147,SAN
0.9781,REBGLO,0.045,0.884,0.071,SAN
-0.9631,REBGLO,0.106,0.843,0.051,SAN
0.9994,REBGLO,0.027,0.86,0.113,SAN
1.0,REBGLO,0.054,0.795,0.151,SAN
0.999,REBGLO,0.041,0.842,0.117,SAN
-0.7334,REBGLO,0.058,0.894,0.048,SAN
0.9993,REBGLO,0.039,0.863,0.098,SAN
0.9771,REBGLO,0.044,0.866,0.09,SAN
0.9682,REBGLO,0.036,0.879,0.084,SAN
0.9998,REBGLO,0.056,0.849,0.095,SAN
0.9511,REBGLO,0.099,0.798,0.103,SAN
0.9968,REBGLO,0.062,0.813,0.126,SAN
0.9718,REBGLO,0.019,0.893,0.088,SAN
0.9714,REBGLO,0.021,0.894,0.086,SAN
0.9891,REBGLO,0.068,0.818,0.114,SAN
0.3291,REBGLO,0.024,0.931,0.045,SAN
0.9999,REBGLO,0.018,0.755,0.227,SAN
0.9655,REBGLO,0.019,0.895,0.086,SAN
-0.9981,REBGLO,0.116,0.83,0.054,SAN
-0.9847,REBGLO,0.079,0.847,0.073,SAN
0.9931,REBGLO,0.069,0.822,0.109,SAN
0.9623,REBGLO,0.019,0.898,0.082,SAN
0.9869,REBGLO,0.034,0.88,0.086,SAN
0.8286,REBGLO,0.044,0.904,0.052,SAN
0.9893,REBGLO,0.017,0.865,0.118,SAN
-0.5983,REBGLO,0.091,0.835,0.075,SAN
1.0,REBGLO,0.027,0.824,0.149,SAN
0.998,REBGLO,0.021,0.84,0.139,SAN
0.5318,REBGLO,0.045,0.909,0.046,SAN
0.9986,REBGLO,0.04,0.759,0.201,SAN
0.9784,REBGLO,0.02,0.888,0.092,SAN
0.996,REBGLO,0.068,0.807,0.125,SAN
0.8689,REBGLO,0.0,0.934,0.066,SAN
0.9995,REBGLO,0.023,0.871,0.106,SAN
0.9756,REBGLO,0.01,0.912,0.078,SAN
0.9815,REBGLO,0.015,0.923,0.062,SAN
0.9971,REBGLO,0.006,0.941,0.053,SAN
0.9946,REBGLO,0.014,0.892,0.093,SAN
0.9443,REBGLO,0.044,0.855,0.102,SAN
0.9071,REBGLO,0.011,0.949,0.04,SAN
1.0,REBGLO,0.025,0.825,0.15,SAN
1.0,REBGLO,0.023,0.834,0.143,SAN
0.9872,REBGLO,0.024,0.884,0.093,SAN
0.9449,REBGLO,0.022,0.903,0.075,SAN
0.7351,REBGLO,0.0,0.942,0.058,SAN
0.7351,REBGLO,0.0,0.942,0.058,SAN
-0.9964,REBGLO,0.098,0.806,0.095,SAN
-0.9964,REBGLO,0.098,0.806,0.095,SAN
0.9147,REBGLO,0.0,0.881,0.119,SAN
0.6361,REBGLO,0.045,0.875,0.08,SAN
0.9998,REBGLO,0.019,0.869,0.112,SAN
0.7239,REBGLO,0.084,0.818,0.098,SAN
0.7296,REBGLO,0.043,0.909,0.048,SAN
0.9937,REBGLO,0.05,0.813,0.137,SAN
0.9931,REBGLO,0.048,0.814,0.138,SAN
0.9181,REBGLO,0.061,0.841,0.098,SAN
0.9985,REBGLO,0.021,0.892,0.087,SAN
0.969,REBGLO,0.018,0.941,0.041,SAN
0.9942,REBGLO,0.053,0.802,0.145,SAN
0.999,REBGLO,0.009,0.867,0.124,SAN
-0.6267,REBGLO,0.082,0.829,0.09,SAN
0.7096,REBGLO,0.029,0.903,0.068,SAN
0.9756,REBGLO,0.011,0.902,0.087,SAN
0.9881,REBGLO,0.003,0.883,0.113,SAN
0.9853,REBGLO,0.004,0.885,0.111,SAN
0.9666,REBGLO,0.018,0.899,0.082,SAN
0.9756,REBGLO,0.011,0.899,0.09,SAN
0.8085,REBGLO,0.022,0.924,0.054,SAN
0.9756,REBGLO,0.011,0.899,0.09,SAN
0.9076,REBGLO,0.114,0.757,0.129,SAN
0.9996,REBGLO,0.043,0.825,0.132,SAN
0.9666,REBGLO,0.018,0.901,0.081,SAN
0.9485,REBGLO,0.0,0.939,0.061,SAN
0.6808,REBGLO,0.016,0.945,0.038,SAN
0.9807,REBGLO,0.01,0.897,0.093,SAN
0.9471,REBGLO,0.039,0.89,0.071,SAN
