compound,name,negative,neutral,positive,ticker
0.9984,REBGLO,0.035,0.911,0.054,SAT
0.9388,REBGLO,0.0,0.879,0.121,SAT
0.9968,REBGLO,0.027,0.902,0.071,SAT
1.0,REBGLO,0.065,0.821,0.114,SAT
0.9836,REBGLO,0.024,0.877,0.098,SAT
0.3999,REBGLO,0.014,0.955,0.031,SAT
0.948,REBGLO,0.052,0.854,0.094,SAT
0.6196,REBGLO,0.046,0.906,0.048,SAT
0.9984,REBGLO,0.03,0.883,0.087,SAT
0.8205,REBGLO,0.0,0.926,0.074,SAT
-0.9994,REBGLO,0.12,0.817,0.063,SAT
0.9994,REBGLO,0.027,0.86,0.113,SAT
0.9856,REBGLO,0.065,0.816,0.119,SAT
0.7851,REBGLO,0.009,0.921,0.07,SAT
0.4497,REBGLO,0.028,0.933,0.039,SAT
0.9945,REBGLO,0.043,0.88,0.077,SAT
0.9745,REBGLO,0.021,0.912,0.066,SAT
0.9672,REBGLO,0.027,0.908,0.065,SAT
0.9306,REBGLO,0.021,0.865,0.114,SAT
0.9945,REBGLO,0.043,0.88,0.077,SAT
0.9945,REBGLO,0.043,0.88,0.077,SAT
0.9763,REBGLO,0.022,0.908,0.07,SAT
0.999,REBGLO,0.03,0.833,0.138,SAT
0.7134,REBGLO,0.069,0.844,0.087,SAT
0.9488,REBGLO,0.06,0.772,0.168,SAT
0.9831,REBGLO,0.024,0.885,0.092,SAT
0.8709,REBGLO,0.054,0.874,0.072,SAT
0.995,REBGLO,0.042,0.88,0.078,SAT
0.9831,REBGLO,0.023,0.887,0.09,SAT
0.7044,REBGLO,0.083,0.812,0.106,SAT
0.8822,REBGLO,0.039,0.894,0.066,SAT
-0.7464,REBGLO,0.089,0.842,0.07,SAT
-0.8417,REBGLO,0.076,0.884,0.04,SAT
-0.5341,REBGLO,0.053,0.912,0.035,SAT
0.1008,REBGLO,0.054,0.893,0.052,SAT
0.9775,REBGLO,0.02,0.914,0.066,SAT
-0.8725,REBGLO,0.078,0.841,0.081,SAT
0.9987,REBGLO,0.034,0.859,0.108,SAT
0.8758,REBGLO,0.062,0.853,0.085,SAT
0.3524,REBGLO,0.075,0.849,0.076,SAT
0.714,REBGLO,0.051,0.835,0.114,SAT
-0.5785,REBGLO,0.053,0.913,0.034,SAT
-0.8751,REBGLO,0.046,0.918,0.035,SAT
0.8991,REBGLO,0.042,0.895,0.063,SAT
0.4864,REBGLO,0.029,0.928,0.043,SAT
0.7906,REBGLO,0.0,0.742,0.258,SAT
-0.9848,REBGLO,0.124,0.797,0.078,SAT
0.738,REBGLO,0.0,0.884,0.116,SAT
-0.7096,REBGLO,0.021,0.974,0.005,SAT
1.0,REBGLO,0.054,0.793,0.153,SAT
-0.2185,REBGLO,0.019,0.968,0.013,SAT
1.0,REBGLO,0.054,0.793,0.153,SAT
0.9998,REBGLO,0.021,0.79,0.189,SAT
0.9719,REBGLO,0.033,0.868,0.1,SAT
0.9994,REBGLO,0.075,0.839,0.085,SAT
0.7621,REBGLO,0.115,0.765,0.12,SAT
0.9688,REBGLO,0.036,0.803,0.161,SAT
-0.5423,REBGLO,0.125,0.832,0.043,SAT
0.9998,REBGLO,0.021,0.79,0.189,SAT
0.9923,REBGLO,0.032,0.833,0.135,SAT
0.8731,REBGLO,0.055,0.873,0.072,SAT
0.8814,REBGLO,0.054,0.875,0.071,SAT
0.9942,REBGLO,0.002,0.921,0.077,SAT
0.9942,REBGLO,0.002,0.921,0.077,SAT
0.8814,REBGLO,0.054,0.875,0.071,SAT
