compound,name,negative,neutral,positive,ticker
-0.9925,REBGLO,0.077,0.855,0.067,SCF
-1.0,REBGLO,0.089,0.883,0.029,SCF
-0.9999,REBGLO,0.137,0.772,0.091,SCF
1.0,REBGLO,0.026,0.707,0.267,SCF
1.0,REBGLO,0.054,0.795,0.151,SCF
0.9982,REBGLO,0.067,0.854,0.079,SCF
-0.9999,REBGLO,0.12,0.792,0.088,SCF
0.999,REBGLO,0.092,0.782,0.126,SCF
-0.9999,REBGLO,0.115,0.803,0.082,SCF
0.9995,REBGLO,0.057,0.812,0.131,SCF
0.9947,REBGLO,0.036,0.852,0.111,SCF
0.9941,REBGLO,0.036,0.854,0.111,SCF
-0.9964,REBGLO,0.098,0.806,0.095,SCF
-0.9964,REBGLO,0.098,0.806,0.095,SCF
0.9941,REBGLO,0.036,0.854,0.111,SCF
-0.5954,REBGLO,0.06,0.882,0.058,SCF
-0.7796,REBGLO,0.06,0.883,0.056,SCF
0.9999,REBGLO,0.028,0.789,0.183,SCF
0.9996,REBGLO,0.047,0.841,0.112,SCF
0.9772,REBGLO,0.065,0.844,0.091,SCF
0.9122,REBGLO,0.072,0.837,0.091,SCF
0.9998,REBGLO,0.038,0.828,0.134,SCF
-0.9888,REBGLO,0.098,0.807,0.095,SCF
-0.9998,REBGLO,0.099,0.822,0.079,SCF
-0.9998,REBGLO,0.099,0.822,0.079,SCF
-0.8708,REBGLO,0.077,0.856,0.068,SCF
0.9107,REBGLO,0.133,0.714,0.152,SCF
-0.9466,REBGLO,0.16,0.714,0.127,SCF
0.9803,REBGLO,0.062,0.847,0.09,SCF
0.9832,REBGLO,0.049,0.886,0.064,SCF
