compound,name,negative,neutral,positive,ticker
0.9855,REBGLO,0.053,0.758,0.189,SENSE
0.9996,REBGLO,0.074,0.817,0.109,SENSE
0.0516,REBGLO,0.046,0.895,0.059,SENSE
0.9388,REBGLO,0.0,0.879,0.121,SENSE
0.9992,REBGLO,0.041,0.827,0.131,SENSE
0.6777,REBGLO,0.081,0.775,0.144,SENSE
1.0,REBGLO,0.017,0.825,0.158,SENSE
0.9998,REBGLO,0.024,0.86,0.117,SENSE
0.999,REBGLO,0.048,0.837,0.115,SENSE
1.0,REBGLO,0.053,0.852,0.094,SENSE
0.9996,REBGLO,0.007,0.853,0.139,SENSE
0.9996,REBGLO,0.007,0.853,0.139,SENSE
0.4205,REBGLO,0.04,0.884,0.076,SENSE
0.9991,REBGLO,0.028,0.806,0.166,SENSE
0.7712,REBGLO,0.056,0.871,0.073,SENSE
-0.9925,REBGLO,0.077,0.855,0.067,SENSE
-0.5379,REBGLO,0.116,0.839,0.045,SENSE
0.9992,REBGLO,0.029,0.852,0.119,SENSE
-0.296,REBGLO,0.128,0.872,0.0,SENSE
0.8289,REBGLO,0.064,0.851,0.086,SENSE
0.8271,REBGLO,0.053,0.73,0.217,SENSE
0.9971,REBGLO,0.027,0.815,0.157,SENSE
0.6031,REBGLO,0.083,0.819,0.097,SENSE
0.9994,REBGLO,0.02,0.825,0.155,SENSE
0.8997,REBGLO,0.026,0.864,0.11,SENSE
0.72,REBGLO,0.083,0.825,0.092,SENSE
-0.9999,REBGLO,0.137,0.772,0.091,SENSE
0.8793,REBGLO,0.1,0.768,0.132,SENSE
0.9682,REBGLO,0.019,0.899,0.081,SENSE
1.0,REBGLO,0.026,0.707,0.267,SENSE
0.9859,REBGLO,0.035,0.88,0.086,SENSE
0.948,REBGLO,0.052,0.854,0.094,SENSE
0.9947,REBGLO,0.066,0.785,0.149,SENSE
1.0,REBGLO,0.029,0.825,0.146,SENSE
0.9647,REBGLO,0.011,0.904,0.085,SENSE
0.9994,REBGLO,0.024,0.87,0.106,SENSE
0.9995,REBGLO,0.075,0.812,0.113,SENSE
0.9645,REBGLO,0.043,0.835,0.123,SENSE
0.7003,REBGLO,0.047,0.848,0.105,SENSE
-0.9981,REBGLO,0.071,0.88,0.049,SENSE
-0.999,REBGLO,0.072,0.878,0.05,SENSE
-0.9979,REBGLO,0.067,0.886,0.047,SENSE
0.9559,REBGLO,0.043,0.838,0.119,SENSE
1.0,REBGLO,0.027,0.826,0.147,SENSE
0.9942,REBGLO,0.052,0.86,0.088,SENSE
-0.9807,REBGLO,0.17,0.744,0.086,SENSE
-0.9948,REBGLO,0.072,0.886,0.042,SENSE
-0.998,REBGLO,0.069,0.883,0.048,SENSE
-0.8062,REBGLO,0.095,0.832,0.073,SENSE
0.9153,REBGLO,0.026,0.909,0.065,SENSE
0.8737,REBGLO,0.0,0.878,0.122,SENSE
0.9874,REBGLO,0.063,0.832,0.105,SENSE
0.9996,REBGLO,0.03,0.838,0.132,SENSE
0.6893,REBGLO,0.06,0.816,0.124,SENSE
-0.9994,REBGLO,0.12,0.817,0.063,SENSE
0.989,REBGLO,0.084,0.798,0.118,SENSE
0.2382,REBGLO,0.025,0.918,0.058,SENSE
0.2732,REBGLO,0.025,0.923,0.052,SENSE
0.9619,REBGLO,0.084,0.792,0.125,SENSE
0.9986,REBGLO,0.062,0.775,0.163,SENSE
-0.9869,REBGLO,0.1,0.839,0.062,SENSE
0.8286,REBGLO,0.08,0.778,0.143,SENSE
0.9893,REBGLO,0.073,0.834,0.093,SENSE
0.9803,REBGLO,0.023,0.894,0.083,SENSE
1.0,REBGLO,0.054,0.795,0.151,SENSE
0.5719,REBGLO,0.0,0.894,0.106,SENSE
0.9272,REBGLO,0.041,0.87,0.089,SENSE
0.9918,REBGLO,0.027,0.853,0.12,SENSE
0.9993,REBGLO,0.039,0.863,0.098,SENSE
-0.4607,REBGLO,0.137,0.735,0.128,SENSE
0.9636,REBGLO,0.041,0.891,0.068,SENSE
0.9876,REBGLO,0.019,0.892,0.09,SENSE
0.799,REBGLO,0.013,0.928,0.059,SENSE
0.9451,REBGLO,0.015,0.876,0.108,SENSE
0.9253,REBGLO,0.032,0.882,0.086,SENSE
-0.636,REBGLO,0.117,0.883,0.0,SENSE
0.9994,REBGLO,0.042,0.832,0.126,SENSE
0.9995,REBGLO,0.02,0.844,0.136,SENSE
0.9999,REBGLO,0.013,0.845,0.141,SENSE
0.9873,REBGLO,0.098,0.777,0.125,SENSE
0.9982,REBGLO,0.067,0.854,0.079,SENSE
0.6369,REBGLO,0.0,0.913,0.087,SENSE
0.9736,REBGLO,0.022,0.904,0.074,SENSE
0.9818,REBGLO,0.105,0.772,0.124,SENSE
0.9318,REBGLO,0.072,0.831,0.097,SENSE
0.9318,REBGLO,0.072,0.831,0.096,SENSE
0.9722,REBGLO,0.057,0.814,0.13,SENSE
0.9581,REBGLO,0.057,0.785,0.158,SENSE
0.9872,REBGLO,0.084,0.808,0.108,SENSE
-0.9999,REBGLO,0.12,0.792,0.088,SENSE
0.9957,REBGLO,0.02,0.897,0.083,SENSE
-0.9965,REBGLO,0.08,0.866,0.054,SENSE
0.9992,REBGLO,0.031,0.828,0.141,SENSE
-0.8571,REBGLO,0.132,0.761,0.107,SENSE
0.9975,REBGLO,0.097,0.79,0.112,SENSE
0.9891,REBGLO,0.027,0.903,0.071,SENSE
-0.8249,REBGLO,0.178,0.765,0.057,SENSE
0.9873,REBGLO,0.098,0.776,0.125,SENSE
-0.972,REBGLO,0.182,0.726,0.092,SENSE
0.9958,REBGLO,0.007,0.843,0.15,SENSE
