compound,name,negative,neutral,positive,ticker
0.875,REBGLO,0.071,0.852,0.076,SET
0.9972,REBGLO,0.022,0.895,0.083,SET
0.9996,REBGLO,0.074,0.817,0.109,SET
0.8271,REBGLO,0.038,0.751,0.211,SET
0.9875,REBGLO,0.009,0.887,0.104,SET
0.4874,REBGLO,0.049,0.887,0.064,SET
0.9659,REBGLO,0.01,0.91,0.08,SET
0.9531,REBGLO,0.051,0.837,0.112,SET
0.9831,REBGLO,0.016,0.771,0.213,SET
0.9928,REBGLO,0.006,0.912,0.081,SET
-0.9994,REBGLO,0.194,0.742,0.064,SET
0.9994,REBGLO,0.009,0.938,0.053,SET
0.9902,REBGLO,0.006,0.866,0.129,SET
0.9975,REBGLO,0.05,0.838,0.112,SET
0.9991,REBGLO,0.049,0.824,0.127,SET
0.9789,REBGLO,0.007,0.89,0.103,SET
-0.9636,REBGLO,0.06,0.917,0.023,SET
0.7518,REBGLO,0.074,0.83,0.097,SET
-0.5493,REBGLO,0.048,0.916,0.036,SET
0.0516,REBGLO,0.046,0.895,0.059,SET
0.9957,REBGLO,0.011,0.833,0.156,SET
0.9992,REBGLO,0.044,0.814,0.142,SET
0.9992,REBGLO,0.041,0.827,0.131,SET
-0.3506,REBGLO,0.051,0.908,0.04,SET
0.9671,REBGLO,0.052,0.851,0.097,SET
0.9994,REBGLO,0.074,0.777,0.149,SET
1.0,REBGLO,0.014,0.782,0.205,SET
1.0,REBGLO,0.017,0.825,0.158,SET
0.999,REBGLO,0.048,0.837,0.115,SET
-1.0,REBGLO,0.153,0.766,0.081,SET
0.9968,REBGLO,0.027,0.902,0.071,SET
0.9999,REBGLO,0.015,0.856,0.128,SET
0.9993,REBGLO,0.021,0.886,0.092,SET
0.9984,REBGLO,0.042,0.86,0.098,SET
1.0,REBGLO,0.053,0.852,0.094,SET
1.0,REBGLO,0.065,0.821,0.114,SET
0.9999,REBGLO,0.044,0.829,0.127,SET
0.9992,REBGLO,0.035,0.866,0.099,SET
0.9944,REBGLO,0.024,0.877,0.1,SET
0.996,REBGLO,0.038,0.846,0.116,SET
0.9863,REBGLO,0.091,0.76,0.149,SET
0.9612,REBGLO,0.0,0.902,0.098,SET
0.997,REBGLO,0.003,0.875,0.122,SET
0.9926,REBGLO,0.007,0.903,0.089,SET
0.9913,REBGLO,0.005,0.873,0.122,SET
0.9993,REBGLO,0.04,0.808,0.152,SET
0.6115,REBGLO,0.04,0.886,0.074,SET
0.8402,REBGLO,0.0,0.927,0.073,SET
0.891,REBGLO,0.0,0.904,0.096,SET
0.9928,REBGLO,0.028,0.856,0.116,SET
0.9794,REBGLO,0.049,0.891,0.06,SET
0.7518,REBGLO,0.074,0.83,0.097,SET
0.9451,REBGLO,0.057,0.824,0.119,SET
0.9985,REBGLO,0.033,0.752,0.214,SET
0.7712,REBGLO,0.056,0.871,0.073,SET
0.987,REBGLO,0.089,0.763,0.148,SET
-0.9895,REBGLO,0.01,0.987,0.003,SET
0.9977,REBGLO,0.015,0.875,0.11,SET
0.9836,REBGLO,0.024,0.877,0.098,SET
0.9931,REBGLO,0.008,0.891,0.101,SET
0.9153,REBGLO,0.0,0.85,0.15,SET
0.9881,REBGLO,0.089,0.761,0.15,SET
-0.9829,REBGLO,0.095,0.869,0.036,SET
0.9963,REBGLO,0.037,0.845,0.117,SET
0.6908,REBGLO,0.015,0.937,0.048,SET
-0.2263,REBGLO,0.008,0.988,0.004,SET
0.9772,REBGLO,0.055,0.827,0.119,SET
0.7568,REBGLO,0.019,0.946,0.034,SET
0.9961,REBGLO,0.026,0.812,0.162,SET
0.3612,REBGLO,0.018,0.949,0.033,SET
0.9948,REBGLO,0.047,0.86,0.093,SET
-1.0,REBGLO,0.089,0.883,0.029,SET
-0.9993,REBGLO,0.188,0.747,0.066,SET
0.9673,REBGLO,0.092,0.782,0.126,SET
-0.2853,REBGLO,0.092,0.807,0.1,SET
0.988,REBGLO,0.021,0.852,0.128,SET
0.9978,REBGLO,0.057,0.819,0.124,SET
0.9988,REBGLO,0.046,0.831,0.123,SET
0.9948,REBGLO,0.043,0.846,0.111,SET
0.9978,REBGLO,0.058,0.817,0.125,SET
0.9993,REBGLO,0.0,0.787,0.213,SET
0.9988,REBGLO,0.028,0.852,0.12,SET
0.9979,REBGLO,0.029,0.775,0.196,SET
-0.9914,REBGLO,0.146,0.792,0.061,SET
0.9851,REBGLO,0.031,0.902,0.067,SET
0.9936,REBGLO,0.027,0.815,0.158,SET
0.996,REBGLO,0.005,0.902,0.093,SET
0.989,REBGLO,0.02,0.927,0.054,SET
0.9682,REBGLO,0.019,0.899,0.081,SET
1.0,REBGLO,0.026,0.707,0.267,SET
0.9956,REBGLO,0.005,0.899,0.095,SET
-0.9914,REBGLO,0.147,0.791,0.062,SET
0.9992,REBGLO,0.028,0.734,0.239,SET
0.9766,REBGLO,0.052,0.847,0.101,SET
0.9978,REBGLO,0.056,0.822,0.122,SET
-0.9992,REBGLO,0.139,0.767,0.094,SET
0.7676,REBGLO,0.005,0.989,0.006,SET
-0.8188,REBGLO,0.081,0.85,0.069,SET
0.9977,REBGLO,0.058,0.819,0.123,SET
-0.9642,REBGLO,0.127,0.766,0.107,SET
