compound,name,negative,neutral,positive,ticker
0.9996,REBGLO,0.074,0.817,0.109,SHP
0.9854,REBGLO,0.0,0.883,0.117,SHP
0.9974,REBGLO,0.005,0.837,0.158,SHP
0.9865,REBGLO,0.0,0.85,0.15,SHP
0.25,REBGLO,0.05,0.901,0.05,SHP
0.5424,REBGLO,0.074,0.844,0.082,SHP
0.9659,REBGLO,0.01,0.91,0.08,SHP
0.9776,REBGLO,0.013,0.875,0.111,SHP
0.9976,REBGLO,0.004,0.839,0.157,SHP
0.9971,REBGLO,0.015,0.895,0.089,SHP
0.9789,REBGLO,0.007,0.89,0.103,SHP
0.9976,REBGLO,0.004,0.84,0.156,SHP
-0.34,REBGLO,0.149,0.757,0.094,SHP
0.966,REBGLO,0.008,0.905,0.087,SHP
-0.6444,REBGLO,0.085,0.831,0.084,SHP
0.9891,REBGLO,0.031,0.823,0.146,SHP
0.9874,REBGLO,0.053,0.761,0.186,SHP
0.9671,REBGLO,0.052,0.851,0.097,SHP
0.8316,REBGLO,0.016,0.92,0.064,SHP
1.0,REBGLO,0.014,0.782,0.205,SHP
1.0,REBGLO,0.017,0.825,0.158,SHP
0.9998,REBGLO,0.024,0.86,0.117,SHP
-1.0,REBGLO,0.153,0.766,0.081,SHP
0.9997,REBGLO,0.021,0.851,0.128,SHP
1.0,REBGLO,0.065,0.821,0.114,SHP
0.9999,REBGLO,0.044,0.829,0.127,SHP
0.9992,REBGLO,0.035,0.866,0.099,SHP
0.9911,REBGLO,0.033,0.888,0.079,SHP
0.9944,REBGLO,0.024,0.877,0.1,SHP
0.996,REBGLO,0.038,0.846,0.116,SHP
0.9926,REBGLO,0.007,0.903,0.089,SHP
0.8696,REBGLO,0.066,0.845,0.089,SHP
0.9913,REBGLO,0.005,0.873,0.122,SHP
0.9993,REBGLO,0.04,0.808,0.152,SHP
0.9991,REBGLO,0.028,0.806,0.166,SHP
0.4417,REBGLO,0.062,0.858,0.08,SHP
0.9928,REBGLO,0.028,0.856,0.116,SHP
0.5424,REBGLO,0.074,0.844,0.082,SHP
0.9977,REBGLO,0.021,0.813,0.166,SHP
0.9592,REBGLO,0.076,0.762,0.162,SHP
-0.8979,REBGLO,0.128,0.821,0.051,SHP
0.9963,REBGLO,0.037,0.845,0.117,SHP
0.7709,REBGLO,0.059,0.87,0.071,SHP
-0.9694,REBGLO,0.16,0.767,0.073,SHP
0.8979,REBGLO,0.0,0.841,0.159,SHP
-0.8201,REBGLO,0.089,0.849,0.062,SHP
0.9968,REBGLO,0.009,0.893,0.098,SHP
0.9969,REBGLO,0.009,0.893,0.098,SHP
-0.1592,REBGLO,0.062,0.87,0.068,SHP
0.9118,REBGLO,0.095,0.729,0.176,SHP
0.965,REBGLO,0.009,0.89,0.1,SHP
0.9921,REBGLO,0.007,0.927,0.067,SHP
0.9929,REBGLO,0.007,0.926,0.067,SHP
0.9968,REBGLO,0.009,0.891,0.099,SHP
0.9953,REBGLO,0.013,0.846,0.141,SHP
-0.7306,REBGLO,0.058,0.905,0.038,SHP
-0.7306,REBGLO,0.058,0.905,0.038,SHP
0.72,REBGLO,0.083,0.825,0.092,SHP
-0.6962,REBGLO,0.103,0.79,0.107,SHP
0.5106,REBGLO,0.0,0.769,0.231,SHP
0.4971,REBGLO,0.073,0.822,0.105,SHP
-0.8225,REBGLO,0.089,0.866,0.044,SHP
0.9921,REBGLO,0.007,0.926,0.067,SHP
0.9851,REBGLO,0.028,0.888,0.084,SHP
0.9859,REBGLO,0.035,0.88,0.086,SHP
0.9992,REBGLO,0.037,0.843,0.12,SHP
0.9991,REBGLO,0.038,0.84,0.122,SHP
0.9565,REBGLO,0.028,0.896,0.076,SHP
0.9926,REBGLO,0.007,0.86,0.133,SHP
0.9946,REBGLO,0.024,0.872,0.103,SHP
-0.7155,REBGLO,0.053,0.903,0.044,SHP
0.9895,REBGLO,0.0,0.836,0.164,SHP
0.9929,REBGLO,0.019,0.843,0.138,SHP
0.9001,REBGLO,0.022,0.907,0.071,SHP
0.9671,REBGLO,0.052,0.851,0.097,SHP
0.9647,REBGLO,0.011,0.904,0.085,SHP
-0.7306,REBGLO,0.058,0.905,0.038,SHP
-0.8517,REBGLO,0.079,0.874,0.047,SHP
0.9931,REBGLO,0.007,0.922,0.071,SHP
0.9956,REBGLO,0.027,0.842,0.131,SHP
-0.9548,REBGLO,0.109,0.824,0.067,SHP
0.9923,REBGLO,0.0,0.856,0.144,SHP
0.9673,REBGLO,0.033,0.889,0.078,SHP
0.9788,REBGLO,0.074,0.82,0.106,SHP
0.0015,REBGLO,0.071,0.87,0.06,SHP
0.9984,REBGLO,0.046,0.844,0.109,SHP
0.9994,REBGLO,0.022,0.855,0.123,SHP
-0.9382,REBGLO,0.214,0.712,0.074,SHP
0.9684,REBGLO,0.041,0.815,0.143,SHP
0.9903,REBGLO,0.03,0.86,0.11,SHP
0.5803,REBGLO,0.03,0.923,0.046,SHP
-0.7579,REBGLO,0.134,0.804,0.061,SHP
0.9001,REBGLO,0.054,0.827,0.119,SHP
0.9997,REBGLO,0.033,0.803,0.164,SHP
0.9997,REBGLO,0.02,0.841,0.139,SHP
0.9997,REBGLO,0.036,0.842,0.122,SHP
0.9041,REBGLO,0.059,0.873,0.068,SHP
0.9964,REBGLO,0.061,0.829,0.11,SHP
0.9988,REBGLO,0.006,0.853,0.14,SHP
0.9941,REBGLO,0.032,0.833,0.136,SHP
