compound,name,negative,neutral,positive,ticker
0.7272,REBGLO,0.044,0.902,0.054,SIG
0.9996,REBGLO,0.007,0.853,0.139,SIG
0.9996,REBGLO,0.007,0.853,0.139,SIG
0.9816,REBGLO,0.029,0.81,0.161,SIG
0.9816,REBGLO,0.029,0.806,0.164,SIG
0.997,REBGLO,0.007,0.9,0.093,SIG
0.354,REBGLO,0.071,0.85,0.079,SIG
0.9816,REBGLO,0.029,0.806,0.164,SIG
0.7096,REBGLO,0.033,0.907,0.06,SIG
0.9816,REBGLO,0.027,0.824,0.15,SIG
0.9767,REBGLO,0.044,0.784,0.172,SIG
0.9767,REBGLO,0.044,0.784,0.172,SIG
0.9793,REBGLO,0.039,0.789,0.172,SIG
0.9816,REBGLO,0.03,0.797,0.172,SIG
0.9979,REBGLO,0.005,0.978,0.017,SIG
0.9881,REBGLO,0.113,0.761,0.127,SIG
0.9995,REBGLO,0.02,0.844,0.136,SIG
0.9999,REBGLO,0.013,0.845,0.141,SIG
-0.9999,REBGLO,0.139,0.774,0.086,SIG
-0.996,REBGLO,0.098,0.837,0.064,SIG
-0.2278,REBGLO,0.005,0.992,0.004,SIG
-0.4878,REBGLO,0.005,0.991,0.004,SIG
0.9937,REBGLO,0.108,0.734,0.158,SIG
0.9531,REBGLO,0.081,0.82,0.099,SIG
0.9842,REBGLO,0.01,0.971,0.019,SIG
0.9272,REBGLO,0.044,0.845,0.111,SIG
0.9816,REBGLO,0.031,0.796,0.173,SIG
0.9785,REBGLO,0.025,0.944,0.031,SIG
-0.9538,REBGLO,0.006,0.993,0.001,SIG
0.8074,REBGLO,0.012,0.936,0.052,SIG
0.9468,REBGLO,0.018,0.882,0.1,SIG
0.9945,REBGLO,0.0,0.987,0.013,SIG
0.9975,REBGLO,0.039,0.825,0.136,SIG
0.9196,REBGLO,0.022,0.892,0.086,SIG
0.9432,REBGLO,0.04,0.916,0.044,SIG
0.9783,REBGLO,0.025,0.867,0.108,SIG
0.9432,REBGLO,0.04,0.916,0.044,SIG
