compound,name,negative,neutral,positive,ticker
-0.9992,REBGLO,0.139,0.767,0.094,SMOKE
-0.9807,REBGLO,0.17,0.744,0.086,SMOKE
0.9676,REBGLO,0.064,0.744,0.192,SMOKE
0.9881,REBGLO,0.113,0.761,0.127,SMOKE
0.9975,REBGLO,0.097,0.79,0.112,SMOKE
-0.9999,REBGLO,0.106,0.813,0.082,SMOKE
0.9997,REBGLO,0.042,0.865,0.093,SMOKE
0.3759,REBGLO,0.043,0.904,0.052,SMOKE
-0.8725,REBGLO,0.078,0.841,0.081,SMOKE
0.9845,REBGLO,0.084,0.825,0.09,SMOKE
-0.9725,REBGLO,0.137,0.774,0.089,SMOKE
-0.4939,REBGLO,0.019,0.971,0.01,SMOKE
0.9998,REBGLO,0.037,0.865,0.099,SMOKE
0.6369,REBGLO,0.0,0.977,0.023,SMOKE
0.9965,REBGLO,0.046,0.785,0.169,SMOKE
-0.7506,REBGLO,0.225,0.722,0.053,SMOKE
0.885,REBGLO,0.0,0.739,0.261,SMOKE
-0.9984,REBGLO,0.133,0.756,0.111,SMOKE
0.6002,REBGLO,0.043,0.842,0.115,SMOKE
0.9944,REBGLO,0.083,0.826,0.091,SMOKE
0.9944,REBGLO,0.083,0.826,0.091,SMOKE
