compound,name,negative,neutral,positive,ticker
0.0,REBGLO,0.0,1.0,0.0,SOOM
0.9996,REBGLO,0.074,0.817,0.109,SOOM
0.9899,REBGLO,0.028,0.841,0.131,SOOM
0.9854,REBGLO,0.0,0.883,0.117,SOOM
0.9984,REBGLO,0.016,0.738,0.245,SOOM
0.9974,REBGLO,0.005,0.837,0.158,SOOM
0.9875,REBGLO,0.009,0.887,0.104,SOOM
0.9874,REBGLO,0.014,0.86,0.126,SOOM
0.9906,REBGLO,0.048,0.801,0.151,SOOM
0.4874,REBGLO,0.049,0.887,0.064,SOOM
0.9524,REBGLO,0.019,0.897,0.084,SOOM
0.9842,REBGLO,0.021,0.79,0.189,SOOM
0.9956,REBGLO,0.009,0.818,0.174,SOOM
-0.6144,REBGLO,0.061,0.885,0.054,SOOM
0.9882,REBGLO,0.015,0.89,0.095,SOOM
0.9794,REBGLO,0.0,0.899,0.101,SOOM
0.9531,REBGLO,0.051,0.837,0.112,SOOM
0.6553,REBGLO,0.0,0.984,0.016,SOOM
0.9776,REBGLO,0.013,0.875,0.111,SOOM
0.9976,REBGLO,0.004,0.839,0.157,SOOM
0.9978,REBGLO,0.008,0.817,0.176,SOOM
0.997,REBGLO,0.079,0.799,0.121,SOOM
0.9971,REBGLO,0.015,0.895,0.089,SOOM
0.9968,REBGLO,0.03,0.842,0.129,SOOM
0.9996,REBGLO,0.04,0.761,0.199,SOOM
0.9987,REBGLO,0.046,0.82,0.134,SOOM
0.997,REBGLO,0.079,0.799,0.121,SOOM
0.9949,REBGLO,0.034,0.888,0.078,SOOM
0.9978,REBGLO,0.008,0.818,0.174,SOOM
0.9976,REBGLO,0.004,0.84,0.156,SOOM
0.3612,REBGLO,0.0,0.95,0.05,SOOM
0.9826,REBGLO,0.011,0.913,0.076,SOOM
0.9774,REBGLO,0.02,0.84,0.14,SOOM
0.4588,REBGLO,0.067,0.833,0.101,SOOM
0.7096,REBGLO,0.0,0.808,0.192,SOOM
0.9843,REBGLO,0.028,0.838,0.134,SOOM
0.9893,REBGLO,0.016,0.913,0.071,SOOM
0.8442,REBGLO,0.096,0.784,0.12,SOOM
0.9509,REBGLO,0.047,0.71,0.243,SOOM
0.8976,REBGLO,0.051,0.86,0.089,SOOM
0.966,REBGLO,0.008,0.905,0.087,SOOM
0.5859,REBGLO,0.0,0.866,0.134,SOOM
0.5859,REBGLO,0.0,0.866,0.134,SOOM
0.5859,REBGLO,0.0,0.866,0.134,SOOM
0.9982,REBGLO,0.086,0.787,0.127,SOOM
0.34,REBGLO,0.0,0.959,0.041,SOOM
0.7964,REBGLO,0.0,0.816,0.184,SOOM
0.765,REBGLO,0.0,0.861,0.139,SOOM
0.7351,REBGLO,0.03,0.859,0.11,SOOM
0.999,REBGLO,0.042,0.855,0.102,SOOM
0.7806,REBGLO,0.063,0.85,0.087,SOOM
-0.8107,REBGLO,0.074,0.883,0.043,SOOM
0.9992,REBGLO,0.044,0.814,0.142,SOOM
-0.6486,REBGLO,0.072,0.88,0.048,SOOM
-0.8429,REBGLO,0.087,0.85,0.063,SOOM
0.6757,REBGLO,0.036,0.885,0.08,SOOM
-0.3506,REBGLO,0.051,0.908,0.04,SOOM
0.946,REBGLO,0.026,0.848,0.126,SOOM
0.9927,REBGLO,0.009,0.872,0.119,SOOM
0.9794,REBGLO,0.0,0.899,0.101,SOOM
0.997,REBGLO,0.0,0.878,0.122,SOOM
0.9994,REBGLO,0.074,0.777,0.149,SOOM
1.0,REBGLO,0.014,0.782,0.205,SOOM
0.9995,REBGLO,0.009,0.89,0.101,SOOM
1.0,REBGLO,0.017,0.825,0.158,SOOM
0.8957,REBGLO,0.0,0.782,0.218,SOOM
0.9923,REBGLO,0.043,0.859,0.098,SOOM
-1.0,REBGLO,0.153,0.766,0.081,SOOM
0.9997,REBGLO,0.021,0.851,0.128,SOOM
0.9999,REBGLO,0.015,0.856,0.128,SOOM
0.9993,REBGLO,0.021,0.886,0.092,SOOM
1.0,REBGLO,0.053,0.852,0.094,SOOM
1.0,REBGLO,0.065,0.821,0.114,SOOM
0.9992,REBGLO,0.035,0.866,0.099,SOOM
