compound,name,negative,neutral,positive,ticker
1.0,REBGLO,0.065,0.821,0.114,SRN
0.9847,REBGLO,0.025,0.872,0.103,SRN
0.6369,REBGLO,0.0,0.983,0.017,SRN
0.9989,REBGLO,0.036,0.813,0.151,SRN
0.9989,REBGLO,0.036,0.811,0.154,SRN
0.9989,REBGLO,0.036,0.813,0.152,SRN
0.9989,REBGLO,0.037,0.813,0.149,SRN
0.9965,REBGLO,0.059,0.827,0.114,SRN
0.9989,REBGLO,0.036,0.813,0.152,SRN
0.9989,REBGLO,0.035,0.813,0.152,SRN
0.9998,REBGLO,0.056,0.849,0.095,SRN
-0.3612,REBGLO,0.01,0.986,0.004,SRN
0.9989,REBGLO,0.035,0.816,0.149,SRN
0.9799,REBGLO,0.018,0.921,0.061,SRN
-0.2263,REBGLO,0.014,0.976,0.01,SRN
0.4824,REBGLO,0.013,0.969,0.018,SRN
