compound,name,negative,neutral,positive,ticker
-0.7243,REBGLO,0.042,0.958,0.0,SSH
-0.9636,REBGLO,0.06,0.917,0.023,SSH
-0.494,REBGLO,0.044,0.917,0.039,SSH
0.9984,REBGLO,0.035,0.911,0.054,SSH
0.0,REBGLO,0.0,1.0,0.0,SSH
-0.2263,REBGLO,0.008,0.988,0.004,SSH
0.7568,REBGLO,0.019,0.946,0.034,SSH
0.989,REBGLO,0.02,0.927,0.054,SSH
-0.9312,REBGLO,0.037,0.941,0.022,SSH
-0.6531,REBGLO,0.072,0.891,0.037,SSH
0.0,REBGLO,0.0,1.0,0.0,SSH
0.7237,REBGLO,0.051,0.828,0.121,SSH
0.9985,REBGLO,0.009,0.952,0.039,SSH
0.9982,REBGLO,0.012,0.948,0.04,SSH
0.5719,REBGLO,0.0,0.992,0.008,SSH
-0.6597,REBGLO,0.048,0.952,0.0,SSH
0.8126,REBGLO,0.0,0.879,0.121,SSH
-0.6531,REBGLO,0.072,0.891,0.037,SSH
-0.9832,REBGLO,0.093,0.872,0.036,SSH
-0.9576,REBGLO,0.117,0.836,0.048,SSH
-0.9631,REBGLO,0.112,0.849,0.04,SSH
0.0,REBGLO,0.0,1.0,0.0,SSH
-0.9888,REBGLO,0.098,0.807,0.095,SSH
0.9688,REBGLO,0.012,0.903,0.085,SSH
-0.5714,REBGLO,0.045,0.943,0.013,SSH
0.891,REBGLO,0.0,0.868,0.132,SSH
