compound,name,negative,neutral,positive,ticker
-0.9937,REBGLO,0.119,0.821,0.061,SSIO
0.9972,REBGLO,0.022,0.895,0.083,SSIO
0.9996,REBGLO,0.074,0.817,0.109,SSIO
0.9899,REBGLO,0.028,0.841,0.131,SSIO
0.9428,REBGLO,0.0,0.847,0.153,SSIO
0.9274,REBGLO,0.013,0.881,0.105,SSIO
0.8041,REBGLO,0.1,0.785,0.114,SSIO
0.9854,REBGLO,0.0,0.883,0.117,SSIO
0.9875,REBGLO,0.009,0.887,0.104,SSIO
0.9874,REBGLO,0.014,0.86,0.126,SSIO
0.5424,REBGLO,0.074,0.844,0.082,SSIO
0.9669,REBGLO,0.0,0.863,0.137,SSIO
-0.9935,REBGLO,0.129,0.806,0.065,SSIO
0.9945,REBGLO,0.026,0.886,0.087,SSIO
0.9326,REBGLO,0.021,0.881,0.097,SSIO
-0.6144,REBGLO,0.061,0.885,0.054,SSIO
0.9659,REBGLO,0.01,0.91,0.08,SSIO
0.9882,REBGLO,0.015,0.89,0.095,SSIO
0.9794,REBGLO,0.0,0.899,0.101,SSIO
0.9776,REBGLO,0.013,0.875,0.111,SSIO
0.9928,REBGLO,0.006,0.912,0.081,SSIO
0.9976,REBGLO,0.004,0.839,0.157,SSIO
0.9978,REBGLO,0.008,0.817,0.176,SSIO
-0.9994,REBGLO,0.194,0.742,0.064,SSIO
0.9949,REBGLO,0.0,0.838,0.162,SSIO
0.9949,REBGLO,0.005,0.857,0.138,SSIO
0.9902,REBGLO,0.006,0.866,0.129,SSIO
0.997,REBGLO,0.079,0.799,0.121,SSIO
0.9968,REBGLO,0.03,0.842,0.129,SSIO
0.9996,REBGLO,0.04,0.761,0.199,SSIO
0.9987,REBGLO,0.046,0.82,0.134,SSIO
0.9975,REBGLO,0.05,0.838,0.112,SSIO
0.997,REBGLO,0.079,0.799,0.121,SSIO
0.9966,REBGLO,0.067,0.754,0.179,SSIO
0.2263,REBGLO,0.0,0.98,0.02,SSIO
0.9978,REBGLO,0.008,0.818,0.174,SSIO
0.9976,REBGLO,0.004,0.84,0.156,SSIO
0.9826,REBGLO,0.011,0.913,0.076,SSIO
0.995,REBGLO,0.032,0.808,0.16,SSIO
-0.9636,REBGLO,0.06,0.917,0.023,SSIO
-0.0498,REBGLO,0.023,0.961,0.016,SSIO
0.995,REBGLO,0.032,0.807,0.161,SSIO
0.5859,REBGLO,0.0,0.866,0.134,SSIO
0.5859,REBGLO,0.0,0.866,0.134,SSIO
0.5859,REBGLO,0.0,0.866,0.134,SSIO
-0.9937,REBGLO,0.116,0.824,0.06,SSIO
0.999,REBGLO,0.042,0.855,0.102,SSIO
0.9984,REBGLO,0.035,0.911,0.054,SSIO
0.9444,REBGLO,0.01,0.904,0.086,SSIO
0.7806,REBGLO,0.063,0.85,0.087,SSIO
-0.8107,REBGLO,0.074,0.883,0.043,SSIO
0.9929,REBGLO,0.038,0.797,0.165,SSIO
0.9992,REBGLO,0.041,0.827,0.131,SSIO
0.995,REBGLO,0.032,0.811,0.158,SSIO
0.9949,REBGLO,0.005,0.855,0.14,SSIO
0.9794,REBGLO,0.0,0.899,0.101,SSIO
0.8316,REBGLO,0.016,0.92,0.064,SSIO
0.997,REBGLO,0.0,0.878,0.122,SSIO
0.9994,REBGLO,0.074,0.777,0.149,SSIO
1.0,REBGLO,0.014,0.782,0.205,SSIO
1.0,REBGLO,0.017,0.825,0.158,SSIO
