compound,name,negative,neutral,positive,ticker
0.9444,REBGLO,0.01,0.904,0.086,STAR
0.63,REBGLO,0.086,0.791,0.122,STAR
0.9993,REBGLO,0.021,0.886,0.092,STAR
1.0,REBGLO,0.053,0.852,0.094,STAR
-0.9925,REBGLO,0.077,0.855,0.067,STAR
-0.9912,REBGLO,0.18,0.723,0.097,STAR
0.9991,REBGLO,0.018,0.816,0.166,STAR
0.9979,REBGLO,0.015,0.902,0.083,STAR
0.9908,REBGLO,0.036,0.839,0.125,STAR
0.9631,REBGLO,0.014,0.937,0.048,STAR
0.9908,REBGLO,0.036,0.839,0.125,STAR
0.8645,REBGLO,0.053,0.811,0.136,STAR
0.9887,REBGLO,0.062,0.837,0.101,STAR
0.9984,REBGLO,0.03,0.883,0.087,STAR
0.9818,REBGLO,0.037,0.889,0.074,STAR
-0.9977,REBGLO,0.091,0.862,0.047,STAR
0.9956,REBGLO,0.017,0.912,0.072,STAR
0.915,REBGLO,0.044,0.827,0.128,STAR
0.9856,REBGLO,0.065,0.816,0.119,STAR
0.9241,REBGLO,0.005,0.937,0.058,STAR
-0.0688,REBGLO,0.025,0.954,0.02,STAR
0.9986,REBGLO,0.062,0.775,0.163,STAR
-0.2263,REBGLO,0.022,0.962,0.016,STAR
-0.9997,REBGLO,0.064,0.897,0.038,STAR
0.9907,REBGLO,0.024,0.919,0.057,STAR
-0.9827,REBGLO,0.111,0.806,0.084,STAR
0.999,REBGLO,0.041,0.842,0.117,STAR
0.8777,REBGLO,0.0,0.925,0.075,STAR
0.9982,REBGLO,0.067,0.854,0.079,STAR
0.9998,REBGLO,0.056,0.849,0.095,STAR
0.9982,REBGLO,0.039,0.857,0.105,STAR
0.9511,REBGLO,0.099,0.798,0.103,STAR
0.9868,REBGLO,0.006,0.802,0.192,STAR
0.9984,REBGLO,0.023,0.824,0.153,STAR
0.9985,REBGLO,0.023,0.823,0.154,STAR
0.9974,REBGLO,0.045,0.828,0.126,STAR
-0.9999,REBGLO,0.106,0.813,0.082,STAR
-0.9999,REBGLO,0.115,0.803,0.082,STAR
0.9999,REBGLO,0.018,0.755,0.227,STAR
0.9996,REBGLO,0.028,0.789,0.182,STAR
0.9136,REBGLO,0.034,0.891,0.076,STAR
0.9898,REBGLO,0.041,0.867,0.092,STAR
0.8286,REBGLO,0.044,0.904,0.052,STAR
0.9893,REBGLO,0.017,0.865,0.118,STAR
0.9784,REBGLO,0.044,0.787,0.17,STAR
0.9998,REBGLO,0.03,0.804,0.166,STAR
0.6249,REBGLO,0.045,0.894,0.062,STAR
0.9992,REBGLO,0.042,0.856,0.102,STAR
0.5318,REBGLO,0.045,0.909,0.046,STAR
-0.9973,REBGLO,0.039,0.949,0.013,STAR
0.9904,REBGLO,0.0,0.808,0.192,STAR
0.9936,REBGLO,0.0,0.835,0.165,STAR
0.8957,REBGLO,0.075,0.824,0.101,STAR
0.885,REBGLO,0.025,0.927,0.048,STAR
0.9995,REBGLO,0.057,0.812,0.131,STAR
-0.0516,REBGLO,0.09,0.823,0.086,STAR
-0.9964,REBGLO,0.098,0.806,0.095,STAR
-0.9964,REBGLO,0.098,0.806,0.095,STAR
0.6747,REBGLO,0.087,0.812,0.102,STAR
-0.8725,REBGLO,0.078,0.841,0.081,STAR
0.9975,REBGLO,0.022,0.834,0.144,STAR
0.9972,REBGLO,0.015,0.851,0.133,STAR
0.6908,REBGLO,0.109,0.753,0.138,STAR
0.9972,REBGLO,0.016,0.845,0.139,STAR
0.9998,REBGLO,0.019,0.869,0.112,STAR
0.9921,REBGLO,0.0,0.912,0.088,STAR
0.9531,REBGLO,0.081,0.82,0.099,STAR
0.7296,REBGLO,0.043,0.909,0.048,STAR
0.9916,REBGLO,0.036,0.864,0.101,STAR
-0.7016,REBGLO,0.141,0.728,0.13,STAR
0.991,REBGLO,0.101,0.763,0.136,STAR
0.9969,REBGLO,0.006,0.824,0.17,STAR
0.3786,REBGLO,0.027,0.938,0.036,STAR
0.9989,REBGLO,0.035,0.847,0.117,STAR
-0.4588,REBGLO,0.084,0.822,0.094,STAR
0.9949,REBGLO,0.013,0.856,0.131,STAR
0.9979,REBGLO,0.025,0.822,0.153,STAR
0.9937,REBGLO,0.059,0.805,0.135,STAR
0.9948,REBGLO,0.059,0.805,0.136,STAR
0.8326,REBGLO,0.059,0.872,0.069,STAR
1.0,REBGLO,0.025,0.774,0.201,STAR
-0.8884,REBGLO,0.054,0.928,0.018,STAR
0.8598,REBGLO,0.061,0.863,0.076,STAR
0.9948,REBGLO,0.059,0.806,0.135,STAR
0.9886,REBGLO,0.008,0.889,0.103,STAR
0.9903,REBGLO,0.006,0.9,0.094,STAR
0.9948,REBGLO,0.061,0.822,0.117,STAR
0.9287,REBGLO,0.084,0.773,0.143,STAR
0.9948,REBGLO,0.059,0.806,0.135,STAR
-0.9954,REBGLO,0.059,0.895,0.046,STAR
0.9959,REBGLO,0.05,0.85,0.1,STAR
0.9988,REBGLO,0.079,0.762,0.159,STAR
0.9992,REBGLO,0.042,0.857,0.101,STAR
0.9937,REBGLO,0.059,0.805,0.136,STAR
0.9985,REBGLO,0.044,0.845,0.11,STAR
0.9997,REBGLO,0.033,0.821,0.146,STAR
0.9997,REBGLO,0.033,0.759,0.208,STAR
1.0,REBGLO,0.054,0.793,0.153,STAR
-0.9998,REBGLO,0.099,0.822,0.079,STAR
-0.9998,REBGLO,0.109,0.801,0.091,STAR
