compound,name,negative,neutral,positive,ticker
0.875,REBGLO,0.071,0.852,0.076,STC
0.9996,REBGLO,0.074,0.817,0.109,STC
0.9854,REBGLO,0.0,0.883,0.117,STC
0.9874,REBGLO,0.014,0.86,0.126,STC
0.4874,REBGLO,0.049,0.887,0.064,STC
0.5424,REBGLO,0.074,0.844,0.082,STC
0.9842,REBGLO,0.021,0.79,0.189,STC
0.0772,REBGLO,0.0,0.982,0.018,STC
0.9976,REBGLO,0.004,0.839,0.157,STC
0.9949,REBGLO,0.005,0.857,0.138,STC
-0.9438,REBGLO,0.046,0.938,0.015,STC
0.9971,REBGLO,0.015,0.895,0.089,STC
0.9968,REBGLO,0.03,0.842,0.129,STC
0.9996,REBGLO,0.04,0.761,0.199,STC
0.9975,REBGLO,0.05,0.838,0.112,STC
0.9769,REBGLO,0.041,0.812,0.147,STC
0.9966,REBGLO,0.067,0.754,0.179,STC
0.9976,REBGLO,0.004,0.84,0.156,STC
0.9826,REBGLO,0.011,0.913,0.076,STC
0.9774,REBGLO,0.02,0.84,0.14,STC
0.995,REBGLO,0.032,0.808,0.16,STC
0.9662,REBGLO,0.037,0.881,0.082,STC
0.9893,REBGLO,0.016,0.913,0.071,STC
0.995,REBGLO,0.032,0.807,0.161,STC
0.9447,REBGLO,0.017,0.945,0.037,STC
0.9992,REBGLO,0.044,0.814,0.142,STC
0.9929,REBGLO,0.038,0.797,0.165,STC
0.9992,REBGLO,0.041,0.827,0.131,STC
0.9891,REBGLO,0.031,0.823,0.146,STC
0.995,REBGLO,0.032,0.811,0.158,STC
0.9949,REBGLO,0.005,0.855,0.14,STC
0.7456,REBGLO,0.01,0.967,0.023,STC
0.9671,REBGLO,0.052,0.851,0.097,STC
0.997,REBGLO,0.0,0.878,0.122,STC
0.9994,REBGLO,0.074,0.777,0.149,STC
0.9995,REBGLO,0.009,0.89,0.101,STC
-1.0,REBGLO,0.153,0.766,0.081,STC
0.9997,REBGLO,0.021,0.851,0.128,STC
0.9993,REBGLO,0.021,0.886,0.092,STC
1.0,REBGLO,0.065,0.821,0.114,STC
0.9944,REBGLO,0.023,0.866,0.111,STC
0.998,REBGLO,0.022,0.821,0.157,STC
0.997,REBGLO,0.003,0.875,0.122,STC
0.998,REBGLO,0.022,0.822,0.157,STC
0.9913,REBGLO,0.005,0.873,0.122,STC
0.9993,REBGLO,0.04,0.808,0.152,STC
0.079,REBGLO,0.036,0.927,0.038,STC
0.9818,REBGLO,0.019,0.935,0.046,STC
0.9399,REBGLO,0.017,0.946,0.037,STC
0.9451,REBGLO,0.057,0.824,0.119,STC
0.5424,REBGLO,0.074,0.844,0.082,STC
0.9949,REBGLO,0.005,0.855,0.14,STC
0.9957,REBGLO,0.01,0.88,0.11,STC
-0.9397,REBGLO,0.066,0.917,0.017,STC
0.9955,REBGLO,0.009,0.889,0.102,STC
0.9974,REBGLO,0.036,0.843,0.121,STC
0.9977,REBGLO,0.015,0.875,0.11,STC
0.9931,REBGLO,0.008,0.891,0.101,STC
-0.25,REBGLO,0.014,0.975,0.011,STC
-0.7021,REBGLO,0.017,0.967,0.016,STC
0.9792,REBGLO,0.014,0.872,0.114,STC
0.9837,REBGLO,0.034,0.876,0.09,STC
0.9937,REBGLO,0.006,0.82,0.174,STC
-0.9673,REBGLO,0.215,0.744,0.041,STC
-0.9728,REBGLO,0.266,0.682,0.052,STC
0.9978,REBGLO,0.057,0.819,0.124,STC
0.9988,REBGLO,0.046,0.831,0.123,STC
0.9968,REBGLO,0.009,0.893,0.098,STC
0.9969,REBGLO,0.009,0.893,0.098,STC
0.529,REBGLO,0.0,0.841,0.159,STC
0.965,REBGLO,0.009,0.89,0.1,STC
0.9921,REBGLO,0.007,0.927,0.067,STC
0.9929,REBGLO,0.007,0.926,0.067,STC
0.368,REBGLO,0.023,0.953,0.024,STC
0.9968,REBGLO,0.009,0.891,0.099,STC
0.9978,REBGLO,0.058,0.817,0.125,STC
0.9993,REBGLO,0.0,0.787,0.213,STC
0.9988,REBGLO,0.028,0.852,0.12,STC
0.5432,REBGLO,0.084,0.82,0.096,STC
0.9956,REBGLO,0.005,0.853,0.142,STC
-0.3182,REBGLO,0.011,0.981,0.008,STC
0.997,REBGLO,0.004,0.827,0.168,STC
0.996,REBGLO,0.005,0.902,0.093,STC
-0.7306,REBGLO,0.058,0.905,0.038,STC
0.9946,REBGLO,0.055,0.794,0.151,STC
-0.7306,REBGLO,0.058,0.905,0.038,STC
0.72,REBGLO,0.083,0.825,0.092,STC
-0.6962,REBGLO,0.103,0.79,0.107,STC
0.8481,REBGLO,0.026,0.908,0.066,STC
0.6542,REBGLO,0.015,0.956,0.029,STC
0.354,REBGLO,0.071,0.85,0.079,STC
0.2023,REBGLO,0.028,0.928,0.044,STC
0.6542,REBGLO,0.015,0.957,0.029,STC
0.3999,REBGLO,0.014,0.955,0.031,STC
0.9921,REBGLO,0.007,0.926,0.067,STC
0.9682,REBGLO,0.019,0.899,0.081,STC
0.8885,REBGLO,0.012,0.892,0.096,STC
0.9956,REBGLO,0.005,0.899,0.095,STC
0.9978,REBGLO,0.056,0.822,0.122,STC
0.9399,REBGLO,0.017,0.946,0.037,STC
