compound,name,negative,neutral,positive,ticker
-0.3182,REBGLO,0.02,0.967,0.013,STRAT
-0.1779,REBGLO,0.02,0.964,0.016,STRAT
0.2023,REBGLO,0.012,0.973,0.015,STRAT
0.9884,REBGLO,0.003,0.907,0.09,STRAT
0.5859,REBGLO,0.0,0.981,0.019,STRAT
-0.4404,REBGLO,0.06,0.925,0.014,STRAT
-0.6908,REBGLO,0.057,0.932,0.011,STRAT
0.3818,REBGLO,0.007,0.973,0.02,STRAT
-0.5106,REBGLO,0.024,0.962,0.014,STRAT
1.0,REBGLO,0.054,0.793,0.153,STRAT
-0.765,REBGLO,0.042,0.94,0.018,STRAT
-0.5859,REBGLO,0.026,0.954,0.02,STRAT
1.0,REBGLO,0.054,0.793,0.153,STRAT
-0.2422,REBGLO,0.027,0.954,0.019,STRAT
0.694,REBGLO,0.015,0.958,0.027,STRAT
-0.7506,REBGLO,0.031,0.955,0.014,STRAT
-0.7184,REBGLO,0.029,0.961,0.01,STRAT
