compound,name,negative,neutral,positive,ticker
0.9855,REBGLO,0.053,0.758,0.189,SWM
0.9996,REBGLO,0.074,0.817,0.109,SWM
-0.8719,REBGLO,0.061,0.913,0.026,SWM
-0.8901,REBGLO,0.066,0.916,0.018,SWM
0.9974,REBGLO,0.005,0.837,0.158,SWM
0.9794,REBGLO,0.0,0.899,0.101,SWM
-0.9994,REBGLO,0.194,0.742,0.064,SWM
0.9949,REBGLO,0.005,0.857,0.138,SWM
0.997,REBGLO,0.079,0.799,0.121,SWM
0.997,REBGLO,0.079,0.799,0.121,SWM
0.9769,REBGLO,0.041,0.812,0.147,SWM
-0.1531,REBGLO,0.075,0.862,0.062,SWM
0.4871,REBGLO,0.0,0.982,0.018,SWM
-0.5493,REBGLO,0.048,0.916,0.036,SWM
0.9982,REBGLO,0.086,0.787,0.127,SWM
0.765,REBGLO,0.0,0.861,0.139,SWM
0.9957,REBGLO,0.011,0.833,0.156,SWM
0.7717,REBGLO,0.0,0.974,0.026,SWM
0.9949,REBGLO,0.005,0.855,0.14,SWM
0.9794,REBGLO,0.0,0.899,0.101,SWM
0.7269,REBGLO,0.035,0.903,0.063,SWM
0.8316,REBGLO,0.016,0.92,0.064,SWM
0.9994,REBGLO,0.074,0.777,0.149,SWM
0.9995,REBGLO,0.009,0.89,0.101,SWM
1.0,REBGLO,0.017,0.825,0.158,SWM
0.9998,REBGLO,0.024,0.86,0.117,SWM
-1.0,REBGLO,0.153,0.766,0.081,SWM
0.9999,REBGLO,0.015,0.856,0.128,SWM
0.9993,REBGLO,0.021,0.886,0.092,SWM
0.9984,REBGLO,0.042,0.86,0.098,SWM
1.0,REBGLO,0.065,0.821,0.114,SWM
0.9999,REBGLO,0.044,0.829,0.127,SWM
0.998,REBGLO,0.022,0.821,0.157,SWM
0.998,REBGLO,0.022,0.822,0.157,SWM
0.9913,REBGLO,0.005,0.873,0.122,SWM
0.9667,REBGLO,0.008,0.877,0.115,SWM
0.9993,REBGLO,0.04,0.808,0.152,SWM
0.9451,REBGLO,0.057,0.824,0.119,SWM
0.3462,REBGLO,0.059,0.82,0.121,SWM
0.9949,REBGLO,0.005,0.855,0.14,SWM
0.9963,REBGLO,0.034,0.863,0.103,SWM
-0.9925,REBGLO,0.077,0.855,0.067,SWM
0.9848,REBGLO,0.038,0.853,0.109,SWM
0.6908,REBGLO,0.015,0.937,0.048,SWM
0.0227,REBGLO,0.095,0.779,0.126,SWM
-0.9694,REBGLO,0.16,0.767,0.073,SWM
0.981,REBGLO,0.02,0.86,0.119,SWM
-0.9993,REBGLO,0.188,0.747,0.066,SWM
0.9664,REBGLO,0.015,0.902,0.083,SWM
0.9341,REBGLO,0.023,0.86,0.117,SWM
0.5432,REBGLO,0.084,0.82,0.096,SWM
0.9231,REBGLO,0.013,0.915,0.071,SWM
0.7717,REBGLO,0.0,0.973,0.027,SWM
0.9956,REBGLO,0.005,0.853,0.142,SWM
0.997,REBGLO,0.004,0.827,0.168,SWM
0.996,REBGLO,0.005,0.902,0.093,SWM
0.8925,REBGLO,0.031,0.867,0.102,SWM
-0.7306,REBGLO,0.058,0.905,0.038,SWM
-0.7306,REBGLO,0.058,0.905,0.038,SWM
0.9982,REBGLO,0.027,0.866,0.108,SWM
-0.9999,REBGLO,0.137,0.772,0.091,SWM
0.4588,REBGLO,0.0,0.893,0.107,SWM
0.4549,REBGLO,0.031,0.882,0.087,SWM
0.886,REBGLO,0.044,0.833,0.123,SWM
0.9956,REBGLO,0.005,0.899,0.095,SWM
0.9992,REBGLO,0.028,0.734,0.239,SWM
0.9992,REBGLO,0.037,0.843,0.12,SWM
0.5106,REBGLO,0.0,0.699,0.301,SWM
0.9991,REBGLO,0.038,0.84,0.122,SWM
0.9971,REBGLO,0.079,0.8,0.122,SWM
0.9851,REBGLO,0.0,0.895,0.105,SWM
0.9001,REBGLO,0.022,0.907,0.071,SWM
0.745,REBGLO,0.069,0.844,0.087,SWM
0.997,REBGLO,0.004,0.827,0.168,SWM
0.9569,REBGLO,0.031,0.899,0.069,SWM
-0.7306,REBGLO,0.058,0.905,0.038,SWM
-0.8517,REBGLO,0.079,0.874,0.047,SWM
0.9995,REBGLO,0.075,0.812,0.113,SWM
0.9956,REBGLO,0.027,0.842,0.131,SWM
0.9268,REBGLO,0.052,0.861,0.087,SWM
0.9978,REBGLO,0.03,0.847,0.123,SWM
0.0015,REBGLO,0.071,0.87,0.06,SWM
-0.2185,REBGLO,0.02,0.967,0.013,SWM
0.9984,REBGLO,0.046,0.844,0.109,SWM
-0.5423,REBGLO,0.179,0.746,0.075,SWM
0.6808,REBGLO,0.085,0.734,0.181,SWM
0.212,REBGLO,0.0,0.951,0.049,SWM
0.9994,REBGLO,0.022,0.855,0.123,SWM
0.936,REBGLO,0.0,0.881,0.119,SWM
-0.5106,REBGLO,0.057,0.922,0.021,SWM
-0.5758,REBGLO,0.124,0.814,0.062,SWM
-0.9992,REBGLO,0.199,0.746,0.055,SWM
0.8944,REBGLO,0.071,0.809,0.12,SWM
0.997,REBGLO,0.079,0.799,0.121,SWM
0.9988,REBGLO,0.006,0.853,0.14,SWM
0.9941,REBGLO,0.032,0.833,0.136,SWM
1.0,REBGLO,0.027,0.826,0.147,SWM
0.9833,REBGLO,0.071,0.765,0.164,SWM
0.9781,REBGLO,0.045,0.884,0.071,SWM
0.9994,REBGLO,0.041,0.761,0.198,SWM
