compound,name,negative,neutral,positive,ticker
1.0,REBGLO,0.026,0.707,0.267,TASH
0.9991,REBGLO,0.018,0.816,0.166,TASH
1.0,REBGLO,0.054,0.795,0.151,TASH
0.998,REBGLO,0.01,0.875,0.116,TASH
-0.9999,REBGLO,0.106,0.813,0.082,TASH
-0.9999,REBGLO,0.115,0.803,0.082,TASH
0.9995,REBGLO,0.012,0.929,0.06,TASH
0.997,REBGLO,0.019,0.857,0.124,TASH
0.9845,REBGLO,0.084,0.825,0.09,TASH
0.9459,REBGLO,0.021,0.913,0.066,TASH
-0.9954,REBGLO,0.059,0.895,0.046,TASH
0.9846,REBGLO,0.014,0.883,0.104,TASH
0.9998,REBGLO,0.017,0.82,0.163,TASH
1.0,REBGLO,0.054,0.793,0.153,TASH
-0.9998,REBGLO,0.099,0.822,0.079,TASH
-0.9998,REBGLO,0.109,0.801,0.091,TASH
1.0,REBGLO,0.054,0.793,0.153,TASH
0.9944,REBGLO,0.083,0.826,0.091,TASH
0.9944,REBGLO,0.083,0.826,0.091,TASH
-0.9998,REBGLO,0.099,0.822,0.079,TASH
-0.9998,REBGLO,0.109,0.801,0.091,TASH
0.9999,REBGLO,0.03,0.82,0.15,TASH
