compound,name,negative,neutral,positive,ticker
0.6553,REBGLO,0.0,0.984,0.016,THRT
0.997,REBGLO,0.079,0.799,0.121,THRT
0.997,REBGLO,0.079,0.799,0.121,THRT
0.9995,REBGLO,0.009,0.89,0.101,THRT
0.997,REBGLO,0.003,0.875,0.122,THRT
0.9837,REBGLO,0.034,0.876,0.09,THRT
0.694,REBGLO,0.018,0.954,0.028,THRT
0.961,REBGLO,0.028,0.853,0.119,THRT
1.0,REBGLO,0.026,0.707,0.267,THRT
0.8271,REBGLO,0.021,0.884,0.094,THRT
0.9971,REBGLO,0.079,0.8,0.122,THRT
-0.941,REBGLO,0.157,0.728,0.115,THRT
0.997,REBGLO,0.079,0.799,0.121,THRT
0.9953,REBGLO,0.055,0.804,0.14,THRT
1.0,REBGLO,0.054,0.795,0.151,THRT
0.9907,REBGLO,0.03,0.874,0.096,THRT
0.9965,REBGLO,0.063,0.788,0.148,THRT
-0.9614,REBGLO,0.11,0.801,0.089,THRT
0.9984,REBGLO,0.023,0.824,0.153,THRT
0.9985,REBGLO,0.023,0.823,0.154,THRT
0.6959,REBGLO,0.067,0.855,0.078,THRT
0.9931,REBGLO,0.069,0.822,0.109,THRT
0.9711,REBGLO,0.011,0.842,0.147,THRT
0.9993,REBGLO,0.073,0.825,0.102,THRT
0.9983,REBGLO,0.027,0.876,0.097,THRT
0.9973,REBGLO,0.025,0.83,0.145,THRT
0.9973,REBGLO,0.025,0.83,0.145,THRT
0.9922,REBGLO,0.101,0.729,0.17,THRT
0.9978,REBGLO,0.015,0.814,0.171,THRT
0.9974,REBGLO,0.025,0.827,0.148,THRT
0.6655,REBGLO,0.064,0.861,0.075,THRT
0.0964,REBGLO,0.061,0.84,0.098,THRT
0.9977,REBGLO,0.016,0.835,0.149,THRT
0.9969,REBGLO,0.007,0.862,0.132,THRT
0.9967,REBGLO,0.007,0.856,0.137,THRT
0.9967,REBGLO,0.007,0.858,0.135,THRT
0.9951,REBGLO,0.009,0.855,0.136,THRT
0.9964,REBGLO,0.004,0.862,0.135,THRT
0.9969,REBGLO,0.007,0.855,0.138,THRT
0.9967,REBGLO,0.007,0.858,0.135,THRT
0.9983,REBGLO,0.031,0.84,0.13,THRT
0.9969,REBGLO,0.007,0.855,0.138,THRT
0.9942,REBGLO,0.012,0.903,0.086,THRT
0.9967,REBGLO,0.007,0.857,0.136,THRT
0.9967,REBGLO,0.007,0.858,0.135,THRT
0.9508,REBGLO,0.113,0.747,0.14,THRT
0.9983,REBGLO,0.007,0.879,0.114,THRT
0.9695,REBGLO,0.004,0.918,0.077,THRT
0.9789,REBGLO,0.012,0.902,0.087,THRT
0.9695,REBGLO,0.004,0.921,0.075,THRT
0.9695,REBGLO,0.004,0.926,0.07,THRT
0.9985,REBGLO,0.045,0.739,0.216,THRT
0.9777,REBGLO,0.004,0.919,0.077,THRT
0.9968,REBGLO,0.007,0.851,0.142,THRT
0.9812,REBGLO,0.004,0.903,0.093,THRT
0.2263,REBGLO,0.066,0.856,0.078,THRT
-0.813,REBGLO,0.088,0.876,0.036,THRT
0.9759,REBGLO,0.015,0.881,0.104,THRT
0.9899,REBGLO,0.047,0.827,0.126,THRT
0.6495,REBGLO,0.07,0.825,0.105,THRT
0.9996,REBGLO,0.041,0.82,0.139,THRT
0.9759,REBGLO,0.015,0.882,0.103,THRT
0.9929,REBGLO,0.011,0.891,0.098,THRT
0.9995,REBGLO,0.021,0.849,0.13,THRT
0.9925,REBGLO,0.024,0.853,0.124,THRT
-0.0772,REBGLO,0.063,0.862,0.075,THRT
0.9925,REBGLO,0.023,0.854,0.122,THRT
0.999,REBGLO,0.009,0.867,0.124,THRT
-0.8235,REBGLO,0.125,0.778,0.097,THRT
0.9831,REBGLO,0.06,0.807,0.133,THRT
0.8303,REBGLO,0.074,0.724,0.202,THRT
0.2551,REBGLO,0.055,0.865,0.08,THRT
-0.9564,REBGLO,0.143,0.805,0.051,THRT
-0.5267,REBGLO,0.055,0.908,0.036,THRT
0.9844,REBGLO,0.0,0.883,0.117,THRT
0.9788,REBGLO,0.043,0.885,0.072,THRT
0.9788,REBGLO,0.043,0.885,0.072,THRT
0.9695,REBGLO,0.004,0.92,0.076,THRT
0.9996,REBGLO,0.043,0.825,0.132,THRT
0.9935,REBGLO,0.003,0.873,0.123,THRT
0.9998,REBGLO,0.024,0.847,0.129,THRT
0.9978,REBGLO,0.014,0.802,0.184,THRT
0.9934,REBGLO,0.021,0.862,0.117,THRT
0.9759,REBGLO,0.015,0.882,0.103,THRT
0.9929,REBGLO,0.086,0.741,0.173,THRT
0.3612,REBGLO,0.007,0.978,0.015,THRT
-0.6486,REBGLO,0.026,0.963,0.011,THRT
-0.0688,REBGLO,0.024,0.957,0.019,THRT
0.9615,REBGLO,0.018,0.923,0.059,THRT
0.9489,REBGLO,0.045,0.806,0.149,THRT
0.9802,REBGLO,0.011,0.906,0.084,THRT
-0.9309,REBGLO,0.127,0.829,0.045,THRT
-0.5489,REBGLO,0.077,0.85,0.073,THRT
0.8621,REBGLO,0.045,0.851,0.105,THRT
-0.6956,REBGLO,0.085,0.849,0.066,THRT
-0.9001,REBGLO,0.1,0.821,0.078,THRT
0.0536,REBGLO,0.078,0.831,0.091,THRT
0.9124,REBGLO,0.06,0.793,0.146,THRT
0.9277,REBGLO,0.024,0.895,0.082,THRT
0.9999,REBGLO,0.03,0.82,0.15,THRT
