compound,name,negative,neutral,positive,ticker
0.0,REBGLO,0.0,1.0,0.0,THT
0.25,REBGLO,0.05,0.901,0.05,THT
0.9991,REBGLO,0.049,0.824,0.127,THT
0.995,REBGLO,0.032,0.808,0.16,THT
0.9893,REBGLO,0.016,0.913,0.071,THT
0.995,REBGLO,0.032,0.807,0.161,THT
0.999,REBGLO,0.042,0.855,0.102,THT
0.9929,REBGLO,0.038,0.797,0.165,THT
0.995,REBGLO,0.032,0.811,0.158,THT
0.1171,REBGLO,0.079,0.832,0.09,THT
0.9163,REBGLO,0.032,0.839,0.129,THT
0.9163,REBGLO,0.032,0.839,0.129,THT
-1.0,REBGLO,0.153,0.766,0.081,THT
1.0,REBGLO,0.065,0.821,0.114,THT
0.9944,REBGLO,0.024,0.877,0.1,THT
0.9686,REBGLO,0.039,0.758,0.203,THT
0.9831,REBGLO,0.025,0.89,0.085,THT
0.998,REBGLO,0.022,0.821,0.157,THT
0.8957,REBGLO,0.055,0.696,0.248,THT
0.9926,REBGLO,0.007,0.903,0.089,THT
0.998,REBGLO,0.022,0.822,0.157,THT
0.8773,REBGLO,0.039,0.866,0.095,THT
0.9317,REBGLO,0.0,0.921,0.079,THT
0.9794,REBGLO,0.049,0.891,0.06,THT
0.9754,REBGLO,0.018,0.762,0.22,THT
0.0,REBGLO,0.0,1.0,0.0,THT
-0.1476,REBGLO,0.056,0.891,0.053,THT
0.9937,REBGLO,0.046,0.84,0.113,THT
-0.9925,REBGLO,0.077,0.855,0.067,THT
0.8248,REBGLO,0.011,0.878,0.111,THT
0.9692,REBGLO,0.007,0.844,0.149,THT
0.5267,REBGLO,0.018,0.921,0.061,THT
0.9211,REBGLO,0.1,0.717,0.183,THT
0.9937,REBGLO,0.006,0.82,0.174,THT
-0.2853,REBGLO,0.092,0.807,0.1,THT
-0.8551,REBGLO,0.116,0.821,0.063,THT
0.9968,REBGLO,0.009,0.893,0.098,THT
0.9969,REBGLO,0.009,0.893,0.098,THT
0.9968,REBGLO,0.009,0.891,0.099,THT
0.9154,REBGLO,0.051,0.871,0.078,THT
0.9921,REBGLO,0.012,0.861,0.127,THT
0.9994,REBGLO,0.02,0.825,0.155,THT
0.9266,REBGLO,0.048,0.861,0.09,THT
0.9982,REBGLO,0.027,0.866,0.108,THT
-0.9999,REBGLO,0.137,0.772,0.091,THT
-0.5395,REBGLO,0.025,0.957,0.017,THT
-0.1027,REBGLO,0.022,0.978,0.0,THT
-0.5733,REBGLO,0.083,0.917,0.0,THT
-0.7534,REBGLO,0.087,0.913,0.0,THT
0.9922,REBGLO,0.056,0.845,0.099,THT
-0.1476,REBGLO,0.056,0.891,0.053,THT
0.9811,REBGLO,0.053,0.837,0.11,THT
0.9859,REBGLO,0.035,0.88,0.086,THT
-0.9642,REBGLO,0.127,0.766,0.107,THT
0.9992,REBGLO,0.037,0.843,0.12,THT
0.9991,REBGLO,0.038,0.84,0.122,THT
0.8843,REBGLO,0.026,0.914,0.06,THT
0.9946,REBGLO,0.024,0.872,0.103,THT
0.9753,REBGLO,0.089,0.778,0.133,THT
0.9929,REBGLO,0.019,0.843,0.138,THT
1.0,REBGLO,0.029,0.825,0.146,THT
0.9908,REBGLO,0.036,0.839,0.125,THT
0.8104,REBGLO,0.046,0.886,0.069,THT
0.9908,REBGLO,0.036,0.839,0.125,THT
-0.34,REBGLO,0.05,0.922,0.028,THT
0.9994,REBGLO,0.022,0.855,0.123,THT
0.9684,REBGLO,0.041,0.815,0.143,THT
0.5106,REBGLO,0.0,0.945,0.055,THT
0.3591,REBGLO,0.06,0.876,0.065,THT
0.885,REBGLO,0.0,0.861,0.139,THT
0.9001,REBGLO,0.054,0.827,0.119,THT
0.7845,REBGLO,0.031,0.86,0.109,THT
0.0952,REBGLO,0.065,0.868,0.067,THT
-0.6501,REBGLO,0.06,0.892,0.049,THT
-0.9623,REBGLO,0.18,0.765,0.055,THT
-0.9026,REBGLO,0.172,0.784,0.045,THT
0.9565,REBGLO,0.051,0.751,0.197,THT
0.9988,REBGLO,0.006,0.853,0.14,THT
-0.9977,REBGLO,0.091,0.862,0.047,THT
1.0,REBGLO,0.027,0.826,0.147,THT
0.6124,REBGLO,0.012,0.952,0.036,THT
-0.3561,REBGLO,0.173,0.592,0.236,THT
0.9611,REBGLO,0.0,0.772,0.228,THT
0.7449,REBGLO,0.056,0.766,0.178,THT
0.9153,REBGLO,0.026,0.909,0.065,THT
0.9771,REBGLO,0.073,0.821,0.105,THT
0.0,REBGLO,0.0,1.0,0.0,THT
0.9932,REBGLO,0.028,0.872,0.1,THT
0.9874,REBGLO,0.063,0.832,0.105,THT
0.9996,REBGLO,0.03,0.838,0.132,THT
-0.9994,REBGLO,0.12,0.817,0.063,THT
0.5859,REBGLO,0.0,0.888,0.112,THT
0.9241,REBGLO,0.034,0.897,0.068,THT
-0.6121,REBGLO,0.061,0.913,0.026,THT
-0.9596,REBGLO,0.084,0.864,0.052,THT
0.9217,REBGLO,0.0,0.792,0.208,THT
0.34,REBGLO,0.0,0.854,0.146,THT
0.9856,REBGLO,0.065,0.816,0.119,THT
0.9986,REBGLO,0.062,0.775,0.163,THT
0.6558,REBGLO,0.061,0.861,0.078,THT
