compound,name,negative,neutral,positive,ticker
-0.7903,REBGLO,0.053,0.919,0.028,TIME
-0.9937,REBGLO,0.119,0.821,0.061,TIME
0.9972,REBGLO,0.022,0.895,0.083,TIME
0.9855,REBGLO,0.053,0.758,0.189,TIME
0.9996,REBGLO,0.074,0.817,0.109,TIME
0.7919,REBGLO,0.073,0.744,0.182,TIME
0.9899,REBGLO,0.028,0.841,0.131,TIME
-0.9792,REBGLO,0.105,0.839,0.056,TIME
-0.8719,REBGLO,0.061,0.913,0.026,TIME
-0.8901,REBGLO,0.066,0.916,0.018,TIME
-0.8978,REBGLO,0.057,0.924,0.018,TIME
-0.374,REBGLO,0.046,0.935,0.02,TIME
0.8271,REBGLO,0.038,0.751,0.211,TIME
0.9038,REBGLO,0.019,0.903,0.078,TIME
0.9984,REBGLO,0.016,0.738,0.245,TIME
0.9865,REBGLO,0.0,0.85,0.15,TIME
0.9524,REBGLO,0.019,0.897,0.084,TIME
0.25,REBGLO,0.069,0.862,0.069,TIME
-0.9935,REBGLO,0.129,0.806,0.065,TIME
0.9945,REBGLO,0.026,0.886,0.087,TIME
-0.6144,REBGLO,0.061,0.885,0.054,TIME
0.9659,REBGLO,0.01,0.91,0.08,TIME
0.6553,REBGLO,0.0,0.984,0.016,TIME
0.9861,REBGLO,0.003,0.896,0.102,TIME
0.755,REBGLO,0.0,0.919,0.081,TIME
0.9976,REBGLO,0.004,0.839,0.157,TIME
0.9978,REBGLO,0.008,0.817,0.176,TIME
-0.9994,REBGLO,0.194,0.742,0.064,TIME
0.9977,REBGLO,0.0,0.806,0.194,TIME
0.9949,REBGLO,0.0,0.838,0.162,TIME
0.0,REBGLO,0.0,1.0,0.0,TIME
0.997,REBGLO,0.079,0.799,0.121,TIME
0.9971,REBGLO,0.015,0.895,0.089,TIME
0.9968,REBGLO,0.03,0.842,0.129,TIME
0.9996,REBGLO,0.04,0.761,0.199,TIME
0.9975,REBGLO,0.05,0.838,0.112,TIME
0.997,REBGLO,0.079,0.799,0.121,TIME
0.9979,REBGLO,0.0,0.807,0.193,TIME
0.9949,REBGLO,0.034,0.888,0.078,TIME
0.9966,REBGLO,0.067,0.754,0.179,TIME
0.9278,REBGLO,0.017,0.842,0.14,TIME
0.823,REBGLO,0.036,0.873,0.092,TIME
0.8322,REBGLO,0.091,0.755,0.154,TIME
-0.3781,REBGLO,0.091,0.858,0.05,TIME
0.6369,REBGLO,0.044,0.806,0.149,TIME
0.9789,REBGLO,0.007,0.89,0.103,TIME
0.9978,REBGLO,0.008,0.818,0.174,TIME
0.9976,REBGLO,0.004,0.84,0.156,TIME
0.9826,REBGLO,0.011,0.913,0.076,TIME
0.9842,REBGLO,0.022,0.89,0.088,TIME
0.8971,REBGLO,0.063,0.799,0.139,TIME
-0.296,REBGLO,0.023,0.977,0.0,TIME
-0.9636,REBGLO,0.06,0.917,0.023,TIME
0.9963,REBGLO,0.017,0.854,0.13,TIME
0.9662,REBGLO,0.037,0.881,0.082,TIME
0.6826,REBGLO,0.081,0.812,0.107,TIME
0.9893,REBGLO,0.016,0.913,0.071,TIME
-0.494,REBGLO,0.044,0.917,0.039,TIME
-0.8273,REBGLO,0.067,0.893,0.039,TIME
0.9509,REBGLO,0.047,0.71,0.243,TIME
0.9816,REBGLO,0.016,0.867,0.118,TIME
0.4871,REBGLO,0.0,0.982,0.018,TIME
-0.9216,REBGLO,0.071,0.904,0.025,TIME
-0.7252,REBGLO,0.059,0.907,0.034,TIME
-0.973,REBGLO,0.096,0.878,0.026,TIME
-0.5493,REBGLO,0.048,0.916,0.036,TIME
0.0516,REBGLO,0.046,0.895,0.059,TIME
0.9862,REBGLO,0.0,0.796,0.204,TIME
0.9857,REBGLO,0.037,0.809,0.154,TIME
0.9982,REBGLO,0.086,0.787,0.127,TIME
-0.9937,REBGLO,0.116,0.824,0.06,TIME
0.9413,REBGLO,0.011,0.949,0.04,TIME
-0.9282,REBGLO,0.127,0.852,0.021,TIME
0.999,REBGLO,0.042,0.855,0.102,TIME
0.7717,REBGLO,0.0,0.974,0.026,TIME
0.9015,REBGLO,0.03,0.899,0.07,TIME
0.8581,REBGLO,0.052,0.828,0.121,TIME
0.9732,REBGLO,0.005,0.889,0.106,TIME
0.9992,REBGLO,0.044,0.814,0.142,TIME
0.9896,REBGLO,0.014,0.866,0.12,TIME
0.9992,REBGLO,0.041,0.827,0.131,TIME
-0.6486,REBGLO,0.072,0.88,0.048,TIME
0.6757,REBGLO,0.036,0.885,0.08,TIME
0.1171,REBGLO,0.079,0.832,0.09,TIME
-0.3506,REBGLO,0.051,0.908,0.04,TIME
0.9874,REBGLO,0.053,0.761,0.186,TIME
0.9163,REBGLO,0.032,0.839,0.129,TIME
0.9163,REBGLO,0.032,0.839,0.129,TIME
0.8316,REBGLO,0.016,0.92,0.064,TIME
0.997,REBGLO,0.0,0.878,0.122,TIME
0.9994,REBGLO,0.074,0.777,0.149,TIME
1.0,REBGLO,0.014,0.782,0.205,TIME
0.9995,REBGLO,0.009,0.89,0.101,TIME
1.0,REBGLO,0.017,0.825,0.158,TIME
0.9998,REBGLO,0.024,0.86,0.117,TIME
0.999,REBGLO,0.048,0.837,0.115,TIME
0.9997,REBGLO,0.027,0.861,0.113,TIME
-1.0,REBGLO,0.153,0.766,0.081,TIME
0.9997,REBGLO,0.021,0.851,0.128,TIME
0.9999,REBGLO,0.015,0.856,0.128,TIME
