compound,name,negative,neutral,positive,ticker
-0.5719,REBGLO,0.026,0.967,0.007,TRX
0.4824,REBGLO,0.015,0.965,0.02,TRX
0.4824,REBGLO,0.015,0.965,0.02,TRX
0.368,REBGLO,0.01,0.976,0.014,TRX
-0.7096,REBGLO,0.018,0.978,0.004,TRX
-0.5719,REBGLO,0.017,0.978,0.005,TRX
0.0772,REBGLO,0.012,0.976,0.012,TRX
-0.4939,REBGLO,0.017,0.974,0.009,TRX
0.0772,REBGLO,0.0,0.982,0.018,TRX
0.0857,REBGLO,0.015,0.972,0.013,TRX
0.5622,REBGLO,0.013,0.966,0.021,TRX
-0.3612,REBGLO,0.011,0.985,0.005,TRX
-0.7964,REBGLO,0.027,0.968,0.005,TRX
-0.3612,REBGLO,0.012,0.982,0.005,TRX
-0.5719,REBGLO,0.018,0.977,0.005,TRX
0.9987,REBGLO,0.046,0.82,0.134,TRX
0.7003,REBGLO,0.046,0.825,0.13,TRX
-0.2263,REBGLO,0.015,0.974,0.011,TRX
0.34,REBGLO,0.015,0.967,0.018,TRX
0.7717,REBGLO,0.0,0.974,0.026,TRX
-0.2263,REBGLO,0.016,0.972,0.012,TRX
0.3612,REBGLO,0.006,0.982,0.012,TRX
0.4939,REBGLO,0.016,0.964,0.021,TRX
-0.7096,REBGLO,0.03,0.963,0.006,TRX
-0.5719,REBGLO,0.023,0.97,0.007,TRX
-0.5719,REBGLO,0.021,0.973,0.006,TRX
-0.7964,REBGLO,0.036,0.958,0.006,TRX
-0.2263,REBGLO,0.024,0.96,0.017,TRX
0.4824,REBGLO,0.014,0.967,0.019,TRX
0.7125,REBGLO,0.015,0.959,0.026,TRX
0.997,REBGLO,0.0,0.878,0.122,TRX
0.9999,REBGLO,0.015,0.856,0.128,TRX
0.9667,REBGLO,0.008,0.877,0.115,TRX
0.6428,REBGLO,0.049,0.889,0.061,TRX
0.87,REBGLO,0.005,0.969,0.026,TRX
0.368,REBGLO,0.01,0.977,0.013,TRX
0.981,REBGLO,0.02,0.915,0.065,TRX
-0.0173,REBGLO,0.02,0.962,0.018,TRX
0.0857,REBGLO,0.014,0.973,0.013,TRX
-0.3612,REBGLO,0.016,0.977,0.007,TRX
0.368,REBGLO,0.01,0.977,0.013,TRX
0.3612,REBGLO,0.007,0.979,0.014,TRX
0.2263,REBGLO,0.0,0.993,0.007,TRX
0.3612,REBGLO,0.008,0.975,0.017,TRX
-0.765,REBGLO,0.03,0.96,0.009,TRX
-0.2263,REBGLO,0.017,0.97,0.012,TRX
-0.7096,REBGLO,0.032,0.961,0.007,TRX
0.7125,REBGLO,0.014,0.962,0.024,TRX
0.9792,REBGLO,0.014,0.872,0.114,TRX
-0.0772,REBGLO,0.007,0.987,0.006,TRX
-0.4767,REBGLO,0.029,0.955,0.016,TRX
0.7717,REBGLO,0.0,0.973,0.027,TRX
-0.1027,REBGLO,0.015,0.971,0.014,TRX
-0.3182,REBGLO,0.011,0.981,0.008,TRX
-0.6486,REBGLO,0.027,0.962,0.011,TRX
0.0772,REBGLO,0.011,0.976,0.012,TRX
-0.3612,REBGLO,0.01,0.986,0.004,TRX
-0.5719,REBGLO,0.015,0.98,0.004,TRX
-0.25,REBGLO,0.011,0.98,0.009,TRX
0.6542,REBGLO,0.015,0.956,0.029,TRX
0.3612,REBGLO,0.007,0.977,0.016,TRX
-0.4939,REBGLO,0.021,0.969,0.011,TRX
-0.4588,REBGLO,0.073,0.927,0.0,TRX
0.6542,REBGLO,0.015,0.957,0.029,TRX
-0.5719,REBGLO,0.024,0.97,0.007,TRX
-0.4588,REBGLO,0.158,0.842,0.0,TRX
-0.4588,REBGLO,0.12,0.88,0.0,TRX
0.6542,REBGLO,0.016,0.954,0.03,TRX
-0.5719,REBGLO,0.02,0.975,0.006,TRX
-0.0772,REBGLO,0.008,0.985,0.007,TRX
0.3612,REBGLO,0.007,0.979,0.014,TRX
0.986,REBGLO,0.02,0.849,0.131,TRX
-0.4767,REBGLO,0.03,0.954,0.016,TRX
-0.5719,REBGLO,0.023,0.971,0.007,TRX
-0.802,REBGLO,0.042,0.942,0.015,TRX
-0.3612,REBGLO,0.015,0.979,0.006,TRX
-0.0173,REBGLO,0.023,0.956,0.021,TRX
0.6523,REBGLO,0.01,0.97,0.02,TRX
0.4824,REBGLO,0.014,0.967,0.019,TRX
0.7125,REBGLO,0.014,0.961,0.025,TRX
-0.5719,REBGLO,0.019,0.975,0.006,TRX
-0.6597,REBGLO,0.028,0.961,0.011,TRX
-0.4767,REBGLO,0.029,0.956,0.015,TRX
0.9994,REBGLO,0.024,0.87,0.106,TRX
0.0772,REBGLO,0.014,0.971,0.015,TRX
-0.7096,REBGLO,0.029,0.964,0.006,TRX
-0.5719,REBGLO,0.023,0.971,0.007,TRX
-0.5719,REBGLO,0.022,0.972,0.006,TRX
-0.7964,REBGLO,0.038,0.955,0.007,TRX
0.7125,REBGLO,0.013,0.964,0.023,TRX
0.7297,REBGLO,0.014,0.959,0.027,TRX
0.6523,REBGLO,0.009,0.972,0.019,TRX
0.7983,REBGLO,0.009,0.968,0.023,TRX
0.7603,REBGLO,0.005,0.976,0.019,TRX
0.7125,REBGLO,0.0,0.986,0.014,TRX
0.7034,REBGLO,0.01,0.967,0.023,TRX
0.2342,REBGLO,0.022,0.957,0.021,TRX
0.6523,REBGLO,0.01,0.971,0.019,TRX
-0.2185,REBGLO,0.02,0.967,0.013,TRX
0.9949,REBGLO,0.013,0.86,0.127,TRX
