compound,name,negative,neutral,positive,ticker
1.0,REBGLO,0.014,0.782,0.205,TTV
0.9922,REBGLO,0.056,0.845,0.099,TTV
0.9818,REBGLO,0.037,0.889,0.074,TTV
0.9781,REBGLO,0.045,0.884,0.071,TTV
0.9721,REBGLO,0.024,0.875,0.101,TTV
0.9986,REBGLO,0.062,0.775,0.163,TTV
-0.9997,REBGLO,0.064,0.897,0.038,TTV
1.0,REBGLO,0.054,0.795,0.151,TTV
0.999,REBGLO,0.041,0.842,0.117,TTV
0.9827,REBGLO,0.014,0.897,0.089,TTV
0.9998,REBGLO,0.056,0.849,0.095,TTV
-0.9999,REBGLO,0.12,0.792,0.088,TTV
0.9975,REBGLO,0.097,0.79,0.112,TTV
-0.9999,REBGLO,0.106,0.813,0.082,TTV
-0.9999,REBGLO,0.139,0.774,0.086,TTV
-0.9999,REBGLO,0.115,0.803,0.082,TTV
-0.996,REBGLO,0.098,0.837,0.064,TTV
0.9979,REBGLO,0.061,0.814,0.126,TTV
0.9071,REBGLO,0.011,0.949,0.04,TTV
0.9995,REBGLO,0.057,0.812,0.131,TTV
0.9845,REBGLO,0.084,0.825,0.09,TTV
0.9999,REBGLO,0.028,0.789,0.183,TTV
0.9996,REBGLO,0.047,0.841,0.112,TTV
0.9809,REBGLO,0.05,0.855,0.095,TTV
1.0,REBGLO,0.029,0.784,0.188,TTV
1.0,REBGLO,0.025,0.774,0.201,TTV
-0.9954,REBGLO,0.059,0.895,0.046,TTV
0.9959,REBGLO,0.05,0.85,0.1,TTV
-0.9888,REBGLO,0.098,0.807,0.095,TTV
0.9985,REBGLO,0.044,0.845,0.11,TTV
0.9997,REBGLO,0.033,0.821,0.146,TTV
0.9978,REBGLO,0.022,0.849,0.129,TTV
1.0,REBGLO,0.054,0.793,0.153,TTV
1.0,REBGLO,0.024,0.786,0.19,TTV
-0.9998,REBGLO,0.099,0.822,0.079,TTV
-0.9998,REBGLO,0.109,0.801,0.091,TTV
1.0,REBGLO,0.054,0.793,0.153,TTV
0.9944,REBGLO,0.083,0.826,0.091,TTV
0.9944,REBGLO,0.083,0.826,0.091,TTV
-0.9998,REBGLO,0.099,0.822,0.079,TTV
0.9994,REBGLO,0.075,0.839,0.085,TTV
-0.9998,REBGLO,0.109,0.801,0.091,TTV
