compound,name,negative,neutral,positive,ticker
-0.9937,REBGLO,0.119,0.821,0.061,TZRO
-0.9935,REBGLO,0.129,0.806,0.065,TZRO
-0.9937,REBGLO,0.116,0.824,0.06,TZRO
-0.6444,REBGLO,0.085,0.831,0.084,TZRO
-0.9857,REBGLO,0.13,0.782,0.088,TZRO
-0.5798,REBGLO,0.086,0.826,0.088,TZRO
-0.9935,REBGLO,0.117,0.819,0.063,TZRO
-0.9857,REBGLO,0.129,0.783,0.088,TZRO
-0.9857,REBGLO,0.129,0.784,0.087,TZRO
0.9828,REBGLO,0.05,0.856,0.094,TZRO
0.9828,REBGLO,0.053,0.848,0.099,TZRO
-0.9847,REBGLO,0.079,0.847,0.073,TZRO
-0.8809,REBGLO,0.085,0.843,0.071,TZRO
0.9828,REBGLO,0.051,0.854,0.096,TZRO
0.9828,REBGLO,0.05,0.855,0.095,TZRO
-0.9779,REBGLO,0.11,0.813,0.077,TZRO
-0.9779,REBGLO,0.111,0.812,0.078,TZRO
0.9828,REBGLO,0.05,0.855,0.095,TZRO
0.9915,REBGLO,0.0,0.889,0.111,TZRO
-0.4515,REBGLO,0.094,0.817,0.089,TZRO
-0.6379,REBGLO,0.094,0.815,0.091,TZRO
-0.6379,REBGLO,0.094,0.815,0.091,TZRO
