compound,name,negative,neutral,positive,ticker
0.9994,REBGLO,0.009,0.938,0.053,TrueCoin
0.9966,REBGLO,0.067,0.754,0.179,TrueCoin
0.9842,REBGLO,0.022,0.89,0.088,TrueCoin
0.9413,REBGLO,0.011,0.949,0.04,TrueCoin
0.919,REBGLO,0.05,0.835,0.115,TrueCoin
0.6224,REBGLO,0.083,0.806,0.111,TrueCoin
0.9794,REBGLO,0.049,0.891,0.06,TrueCoin
0.9985,REBGLO,0.029,0.807,0.164,TrueCoin
0.9413,REBGLO,0.011,0.949,0.04,TrueCoin
0.9413,REBGLO,0.011,0.949,0.04,TrueCoin
0.9948,REBGLO,0.047,0.86,0.093,TrueCoin
0.6031,REBGLO,0.083,0.819,0.097,TrueCoin
0.9995,REBGLO,0.075,0.812,0.113,TrueCoin
0.9454,REBGLO,0.043,0.798,0.159,TrueCoin
-0.9994,REBGLO,0.12,0.817,0.063,TrueCoin
0.9979,REBGLO,0.003,0.761,0.236,TrueCoin
0.9881,REBGLO,0.113,0.761,0.127,TrueCoin
-0.8834,REBGLO,0.137,0.78,0.082,TrueCoin
0.996,REBGLO,0.03,0.877,0.093,TrueCoin
0.7259,REBGLO,0.061,0.844,0.095,TrueCoin
0.9694,REBGLO,0.04,0.864,0.096,TrueCoin
0.3612,REBGLO,0.0,0.945,0.055,TrueCoin
0.9999,REBGLO,0.027,0.794,0.179,TrueCoin
0.9759,REBGLO,0.036,0.889,0.074,TrueCoin
-0.9785,REBGLO,0.127,0.76,0.114,TrueCoin
0.9413,REBGLO,0.011,0.949,0.04,TrueCoin
0.9992,REBGLO,0.031,0.828,0.141,TrueCoin
0.9213,REBGLO,0.056,0.835,0.109,TrueCoin
0.8515,REBGLO,0.047,0.845,0.108,TrueCoin
0.7615,REBGLO,0.023,0.93,0.047,TrueCoin
0.9893,REBGLO,0.065,0.818,0.117,TrueCoin
0.9888,REBGLO,0.015,0.872,0.113,TrueCoin
-0.9999,REBGLO,0.139,0.774,0.086,TrueCoin
0.9807,REBGLO,0.004,0.851,0.145,TrueCoin
0.9874,REBGLO,0.077,0.789,0.133,TrueCoin
0.9887,REBGLO,0.079,0.791,0.13,TrueCoin
0.8868,REBGLO,0.015,0.95,0.036,TrueCoin
0.9984,REBGLO,0.006,0.813,0.181,TrueCoin
0.9902,REBGLO,0.076,0.785,0.139,TrueCoin
0.9981,REBGLO,0.015,0.95,0.035,TrueCoin
