compound,name,negative,neutral,positive,ticker
0.9996,REBGLO,0.074,0.817,0.109,UCASH
-0.9792,REBGLO,0.105,0.839,0.056,UCASH
0.2023,REBGLO,0.011,0.977,0.013,UCASH
0.9949,REBGLO,0.034,0.888,0.078,UCASH
0.9662,REBGLO,0.037,0.881,0.082,UCASH
1.0,REBGLO,0.017,0.825,0.158,UCASH
-1.0,REBGLO,0.153,0.766,0.081,UCASH
1.0,REBGLO,0.053,0.852,0.094,UCASH
1.0,REBGLO,0.065,0.821,0.114,UCASH
0.9911,REBGLO,0.033,0.888,0.079,UCASH
0.8696,REBGLO,0.066,0.845,0.089,UCASH
0.9947,REBGLO,0.034,0.876,0.09,UCASH
0.9941,REBGLO,0.034,0.878,0.088,UCASH
0.0772,REBGLO,0.015,0.969,0.016,UCASH
0.3612,REBGLO,0.018,0.949,0.033,UCASH
0.9941,REBGLO,0.034,0.878,0.088,UCASH
-0.6962,REBGLO,0.103,0.79,0.107,UCASH
0.3612,REBGLO,0.007,0.977,0.016,UCASH
0.9915,REBGLO,0.0,0.867,0.133,UCASH
0.9992,REBGLO,0.037,0.843,0.12,UCASH
0.9991,REBGLO,0.038,0.84,0.122,UCASH
0.9919,REBGLO,0.0,0.866,0.134,UCASH
0.9937,REBGLO,0.039,0.874,0.087,UCASH
0.9995,REBGLO,0.075,0.812,0.113,UCASH
0.9939,REBGLO,0.039,0.873,0.088,UCASH
0.9943,REBGLO,0.055,0.802,0.143,UCASH
0.9975,REBGLO,0.026,0.868,0.106,UCASH
0.9912,REBGLO,0.008,0.91,0.082,UCASH
0.9996,REBGLO,0.018,0.769,0.213,UCASH
0.9964,REBGLO,0.061,0.829,0.11,UCASH
0.9942,REBGLO,0.052,0.86,0.088,UCASH
0.983,REBGLO,0.059,0.846,0.095,UCASH
0.8986,REBGLO,0.004,0.969,0.027,UCASH
0.9954,REBGLO,0.028,0.829,0.143,UCASH
0.4824,REBGLO,0.015,0.966,0.02,UCASH
0.368,REBGLO,0.01,0.976,0.014,UCASH
0.9158,REBGLO,0.014,0.943,0.042,UCASH
0.9937,REBGLO,0.039,0.874,0.087,UCASH
0.5994,REBGLO,0.006,0.974,0.02,UCASH
0.836,REBGLO,0.0,0.939,0.061,UCASH
0.6486,REBGLO,0.005,0.977,0.018,UCASH
0.4588,REBGLO,0.011,0.972,0.018,UCASH
1.0,REBGLO,0.054,0.795,0.151,UCASH
0.9881,REBGLO,0.113,0.761,0.127,UCASH
0.996,REBGLO,0.03,0.877,0.093,UCASH
0.9993,REBGLO,0.039,0.863,0.098,UCASH
-0.0772,REBGLO,0.007,0.987,0.006,UCASH
0.9999,REBGLO,0.027,0.794,0.179,UCASH
0.9999,REBGLO,0.013,0.845,0.141,UCASH
0.9945,REBGLO,0.043,0.88,0.077,UCASH
0.9998,REBGLO,0.056,0.849,0.095,UCASH
0.9964,REBGLO,0.029,0.881,0.09,UCASH
0.2054,REBGLO,0.081,0.84,0.079,UCASH
-0.7087,REBGLO,0.076,0.872,0.052,UCASH
-0.9517,REBGLO,0.098,0.813,0.089,UCASH
0.9987,REBGLO,0.041,0.847,0.112,UCASH
0.9998,REBGLO,0.058,0.823,0.119,UCASH
0.9969,REBGLO,0.029,0.878,0.093,UCASH
0.9999,REBGLO,0.021,0.881,0.097,UCASH
0.9945,REBGLO,0.043,0.88,0.077,UCASH
0.9945,REBGLO,0.043,0.88,0.077,UCASH
-0.3612,REBGLO,0.025,0.958,0.017,UCASH
-0.3182,REBGLO,0.023,0.958,0.019,UCASH
0.3612,REBGLO,0.005,0.983,0.011,UCASH
-0.5719,REBGLO,0.017,0.978,0.005,UCASH
0.9886,REBGLO,0.0,0.923,0.077,UCASH
-0.3612,REBGLO,0.011,0.984,0.005,UCASH
-0.9451,REBGLO,0.098,0.812,0.09,UCASH
-0.9661,REBGLO,0.1,0.813,0.087,UCASH
-0.9678,REBGLO,0.097,0.818,0.085,UCASH
0.2263,REBGLO,0.015,0.967,0.018,UCASH
0.9964,REBGLO,0.029,0.879,0.091,UCASH
0.9993,REBGLO,0.073,0.825,0.102,UCASH
0.9989,REBGLO,0.025,0.871,0.104,UCASH
0.9974,REBGLO,0.004,0.877,0.119,UCASH
0.9998,REBGLO,0.03,0.804,0.166,UCASH
0.9979,REBGLO,0.061,0.814,0.126,UCASH
