compound,name,negative,neutral,positive,ticker
0.9468,REBGLO,0.026,0.847,0.127,UTK
0.0,REBGLO,0.0,1.0,0.0,UTK
0.7684,REBGLO,0.0,0.796,0.204,UTK
0.0,REBGLO,0.0,1.0,0.0,UTK
0.9538,REBGLO,0.026,0.868,0.106,UTK
0.9971,REBGLO,0.006,0.941,0.053,UTK
0.7003,REBGLO,0.0,0.91,0.09,UTK
0.9814,REBGLO,0.007,0.905,0.088,UTK
0.9883,REBGLO,0.014,0.888,0.098,UTK
0.9933,REBGLO,0.041,0.864,0.095,UTK
0.987,REBGLO,0.015,0.874,0.111,UTK
0.0,REBGLO,0.0,1.0,0.0,UTK
0.997,REBGLO,0.019,0.857,0.124,UTK
-0.1926,REBGLO,0.007,0.993,0.0,UTK
0.9846,REBGLO,0.014,0.883,0.104,UTK
0.9931,REBGLO,0.017,0.839,0.144,UTK
0.9741,REBGLO,0.013,0.853,0.134,UTK
0.0,REBGLO,0.0,1.0,0.0,UTK
