compound,name,negative,neutral,positive,ticker
0.9994,REBGLO,0.009,0.938,0.053,VLD
0.0516,REBGLO,0.046,0.895,0.059,VLD
0.9991,REBGLO,0.028,0.806,0.166,VLD
0.9794,REBGLO,0.049,0.891,0.06,VLD
-0.7021,REBGLO,0.017,0.967,0.016,VLD
-1.0,REBGLO,0.089,0.883,0.029,VLD
0.9811,REBGLO,0.02,0.944,0.036,VLD
0.9767,REBGLO,0.02,0.945,0.035,VLD
0.9851,REBGLO,0.028,0.888,0.084,VLD
0.8924,REBGLO,0.059,0.855,0.086,VLD
-0.44,REBGLO,0.11,0.789,0.101,VLD
0.8104,REBGLO,0.046,0.886,0.069,VLD
-0.9651,REBGLO,0.083,0.85,0.067,VLD
0.9788,REBGLO,0.074,0.82,0.106,VLD
0.5632,REBGLO,0.042,0.908,0.051,VLD
-0.9987,REBGLO,0.07,0.879,0.05,VLD
-0.9986,REBGLO,0.071,0.881,0.048,VLD
-0.9981,REBGLO,0.071,0.88,0.049,VLD
-0.999,REBGLO,0.072,0.878,0.05,VLD
-0.9979,REBGLO,0.067,0.886,0.047,VLD
-0.9579,REBGLO,0.07,0.871,0.058,VLD
1.0,REBGLO,0.027,0.826,0.147,VLD
-0.998,REBGLO,0.069,0.883,0.048,VLD
-0.9986,REBGLO,0.066,0.885,0.048,VLD
-0.9132,REBGLO,0.161,0.839,0.0,VLD
0.9979,REBGLO,0.005,0.978,0.017,VLD
-0.5859,REBGLO,0.019,0.972,0.009,VLD
-0.5859,REBGLO,0.019,0.972,0.009,VLD
-0.5859,REBGLO,0.019,0.972,0.009,VLD
-0.5859,REBGLO,0.019,0.972,0.009,VLD
0.9746,REBGLO,0.069,0.836,0.096,VLD
0.9989,REBGLO,0.046,0.833,0.121,VLD
0.993,REBGLO,0.069,0.781,0.151,VLD
0.9999,REBGLO,0.027,0.794,0.179,VLD
0.9827,REBGLO,0.014,0.96,0.026,VLD
-0.9997,REBGLO,0.088,0.888,0.024,VLD
0.99,REBGLO,0.052,0.83,0.118,VLD
0.9509,REBGLO,0.034,0.893,0.073,VLD
-0.9965,REBGLO,0.08,0.866,0.054,VLD
-0.997,REBGLO,0.078,0.866,0.057,VLD
0.9511,REBGLO,0.099,0.798,0.103,VLD
0.9998,REBGLO,0.035,0.842,0.123,VLD
0.995,REBGLO,0.087,0.782,0.131,VLD
0.9982,REBGLO,0.012,0.948,0.04,VLD
0.9788,REBGLO,0.035,0.82,0.145,VLD
-0.2278,REBGLO,0.005,0.992,0.004,VLD
-0.4878,REBGLO,0.005,0.991,0.004,VLD
0.9796,REBGLO,0.014,0.97,0.016,VLD
0.9995,REBGLO,0.041,0.867,0.091,VLD
1.0,REBGLO,0.049,0.857,0.094,VLD
0.7136,REBGLO,0.045,0.846,0.109,VLD
0.9287,REBGLO,0.014,0.937,0.05,VLD
0.6893,REBGLO,0.049,0.875,0.076,VLD
0.9923,REBGLO,0.04,0.869,0.09,VLD
0.9986,REBGLO,0.011,0.889,0.1,VLD
0.9932,REBGLO,0.043,0.84,0.117,VLD
0.9939,REBGLO,0.05,0.82,0.13,VLD
-0.9809,REBGLO,0.106,0.829,0.064,VLD
0.9999,REBGLO,0.032,0.843,0.125,VLD
0.8442,REBGLO,0.029,0.866,0.106,VLD
0.92,REBGLO,0.038,0.895,0.067,VLD
0.9887,REBGLO,0.0,0.854,0.146,VLD
0.9989,REBGLO,0.02,0.834,0.146,VLD
0.9992,REBGLO,0.031,0.827,0.142,VLD
-0.9652,REBGLO,0.03,0.97,0.0,VLD
0.9994,REBGLO,0.067,0.838,0.095,VLD
0.998,REBGLO,0.032,0.866,0.103,VLD
0.3818,REBGLO,0.0,0.963,0.037,VLD
0.5995,REBGLO,0.042,0.885,0.074,VLD
0.9103,REBGLO,0.054,0.835,0.111,VLD
0.1906,REBGLO,0.051,0.893,0.056,VLD
-0.9998,REBGLO,0.091,0.885,0.024,VLD
-0.9655,REBGLO,0.127,0.762,0.111,VLD
-0.9901,REBGLO,0.17,0.718,0.112,VLD
0.9988,REBGLO,0.007,0.79,0.203,VLD
0.8798,REBGLO,0.009,0.916,0.075,VLD
0.9379,REBGLO,0.075,0.789,0.136,VLD
0.9894,REBGLO,0.012,0.805,0.183,VLD
0.9988,REBGLO,0.017,0.836,0.147,VLD
-0.1141,REBGLO,0.098,0.808,0.095,VLD
0.2564,REBGLO,0.086,0.819,0.095,VLD
0.8136,REBGLO,0.069,0.812,0.119,VLD
0.9936,REBGLO,0.061,0.803,0.136,VLD
0.9936,REBGLO,0.061,0.803,0.136,VLD
0.9971,REBGLO,0.03,0.78,0.19,VLD
0.9998,REBGLO,0.035,0.841,0.123,VLD
0.991,REBGLO,0.101,0.763,0.136,VLD
0.9956,REBGLO,0.038,0.821,0.142,VLD
-0.3164,REBGLO,0.208,0.62,0.172,VLD
0.9937,REBGLO,0.043,0.838,0.119,VLD
0.9958,REBGLO,0.079,0.82,0.1,VLD
-0.8958,REBGLO,0.159,0.744,0.097,VLD
-0.623,REBGLO,0.089,0.836,0.075,VLD
0.7054,REBGLO,0.046,0.89,0.064,VLD
-0.8805,REBGLO,0.117,0.861,0.023,VLD
-0.9745,REBGLO,0.265,0.688,0.047,VLD
0.9998,REBGLO,0.036,0.814,0.15,VLD
0.8254,REBGLO,0.045,0.884,0.071,VLD
0.9993,REBGLO,0.034,0.875,0.092,VLD
-0.9538,REBGLO,0.006,0.993,0.001,VLD
