compound,name,negative,neutral,positive,ticker
-0.6144,REBGLO,0.061,0.885,0.054,VZT
0.7351,REBGLO,0.0,0.89,0.11,VZT
0.6553,REBGLO,0.0,0.984,0.016,VZT
0.0772,REBGLO,0.0,0.982,0.018,VZT
0.9662,REBGLO,0.037,0.881,0.082,VZT
0.8271,REBGLO,0.02,0.906,0.074,VZT
-0.0498,REBGLO,0.023,0.961,0.016,VZT
0.34,REBGLO,0.0,0.959,0.041,VZT
0.7717,REBGLO,0.0,0.974,0.026,VZT
0.9995,REBGLO,0.009,0.89,0.101,VZT
-1.0,REBGLO,0.153,0.766,0.081,VZT
0.9997,REBGLO,0.021,0.851,0.128,VZT
1.0,REBGLO,0.065,0.821,0.114,VZT
0.9944,REBGLO,0.023,0.866,0.111,VZT
0.9996,REBGLO,0.007,0.853,0.139,VZT
0.9996,REBGLO,0.007,0.853,0.139,VZT
0.9913,REBGLO,0.005,0.873,0.122,VZT
-0.1476,REBGLO,0.056,0.891,0.053,VZT
0.9977,REBGLO,0.015,0.875,0.11,VZT
0.8957,REBGLO,0.0,0.766,0.234,VZT
0.8979,REBGLO,0.0,0.841,0.159,VZT
0.4607,REBGLO,0.1,0.778,0.121,VZT
-0.9128,REBGLO,0.142,0.785,0.073,VZT
0.694,REBGLO,0.018,0.954,0.028,VZT
0.7692,REBGLO,0.092,0.756,0.152,VZT
0.98,REBGLO,0.051,0.745,0.204,VZT
0.7717,REBGLO,0.0,0.973,0.027,VZT
0.9714,REBGLO,0.008,0.834,0.159,VZT
0.8126,REBGLO,0.031,0.861,0.108,VZT
0.8925,REBGLO,0.031,0.867,0.102,VZT
0.8926,REBGLO,0.06,0.85,0.09,VZT
-0.1476,REBGLO,0.056,0.891,0.053,VZT
0.9992,REBGLO,0.028,0.734,0.239,VZT
0.8609,REBGLO,0.057,0.836,0.106,VZT
-0.7973,REBGLO,0.061,0.892,0.047,VZT
-0.6504,REBGLO,0.062,0.883,0.054,VZT
0.9994,REBGLO,0.024,0.87,0.106,VZT
0.9995,REBGLO,0.075,0.812,0.113,VZT
0.9978,REBGLO,0.03,0.847,0.123,VZT
-0.4342,REBGLO,0.025,0.959,0.016,VZT
0.296,REBGLO,0.0,0.968,0.032,VZT
0.9001,REBGLO,0.054,0.827,0.119,VZT
0.9723,REBGLO,0.026,0.823,0.151,VZT
-0.9623,REBGLO,0.18,0.765,0.055,VZT
-0.9026,REBGLO,0.172,0.784,0.045,VZT
-0.9636,REBGLO,0.162,0.75,0.088,VZT
0.9414,REBGLO,0.093,0.763,0.144,VZT
0.003,REBGLO,0.151,0.703,0.146,VZT
0.9718,REBGLO,0.014,0.868,0.119,VZT
0.5423,REBGLO,0.08,0.775,0.145,VZT
-0.7096,REBGLO,0.029,0.965,0.006,VZT
0.2342,REBGLO,0.019,0.962,0.019,VZT
-0.8815,REBGLO,0.102,0.798,0.099,VZT
0.977,REBGLO,0.037,0.813,0.15,VZT
0.9774,REBGLO,0.039,0.849,0.113,VZT
0.9788,REBGLO,0.022,0.858,0.12,VZT
0.7152,REBGLO,0.082,0.772,0.146,VZT
0.5371,REBGLO,0.01,0.942,0.048,VZT
-0.9542,REBGLO,0.129,0.818,0.052,VZT
-0.9608,REBGLO,0.143,0.78,0.077,VZT
-0.958,REBGLO,0.176,0.801,0.023,VZT
0.9983,REBGLO,0.005,0.857,0.138,VZT
0.9975,REBGLO,0.016,0.844,0.14,VZT
0.9741,REBGLO,0.021,0.9,0.078,VZT
0.7955,REBGLO,0.068,0.82,0.113,VZT
-0.9574,REBGLO,0.104,0.825,0.071,VZT
0.9457,REBGLO,0.032,0.898,0.07,VZT
0.9917,REBGLO,0.057,0.791,0.152,VZT
0.9777,REBGLO,0.121,0.701,0.178,VZT
0.8831,REBGLO,0.091,0.739,0.17,VZT
-0.5609,REBGLO,0.097,0.825,0.077,VZT
-0.8636,REBGLO,0.119,0.803,0.078,VZT
0.7713,REBGLO,0.039,0.861,0.1,VZT
-0.7096,REBGLO,0.02,0.975,0.004,VZT
-0.2185,REBGLO,0.019,0.968,0.013,VZT
-0.5719,REBGLO,0.023,0.97,0.007,VZT
0.9936,REBGLO,0.0,0.842,0.158,VZT
-0.5859,REBGLO,0.132,0.789,0.079,VZT
-0.7334,REBGLO,0.058,0.894,0.048,VZT
0.9806,REBGLO,0.019,0.858,0.122,VZT
0.9272,REBGLO,0.041,0.87,0.089,VZT
0.9918,REBGLO,0.017,0.876,0.107,VZT
0.6597,REBGLO,0.0,0.959,0.041,VZT
0.9882,REBGLO,0.023,0.859,0.118,VZT
-0.2732,REBGLO,0.149,0.756,0.095,VZT
0.9883,REBGLO,0.108,0.703,0.189,VZT
-0.4951,REBGLO,0.114,0.778,0.108,VZT
-0.9815,REBGLO,0.218,0.754,0.027,VZT
-0.9769,REBGLO,0.23,0.681,0.089,VZT
0.9671,REBGLO,0.019,0.91,0.071,VZT
0.6553,REBGLO,0.0,0.961,0.039,VZT
0.9117,REBGLO,0.0,0.843,0.157,VZT
0.9918,REBGLO,0.032,0.773,0.195,VZT
-0.872,REBGLO,0.123,0.82,0.057,VZT
0.9598,REBGLO,0.049,0.796,0.155,VZT
0.9962,REBGLO,0.032,0.866,0.101,VZT
0.9939,REBGLO,0.055,0.75,0.195,VZT
0.9995,REBGLO,0.02,0.844,0.136,VZT
0.9999,REBGLO,0.013,0.845,0.141,VZT
0.9962,REBGLO,0.032,0.867,0.101,VZT
