compound,name,negative,neutral,positive,ticker
0.9972,REBGLO,0.022,0.895,0.083,WELL
0.9996,REBGLO,0.074,0.817,0.109,WELL
0.9899,REBGLO,0.028,0.841,0.131,WELL
0.9854,REBGLO,0.0,0.883,0.117,WELL
0.9974,REBGLO,0.005,0.837,0.158,WELL
0.5424,REBGLO,0.074,0.844,0.082,WELL
0.9882,REBGLO,0.015,0.89,0.095,WELL
0.9776,REBGLO,0.013,0.875,0.111,WELL
0.9552,REBGLO,0.033,0.871,0.095,WELL
0.9976,REBGLO,0.004,0.839,0.157,WELL
0.9978,REBGLO,0.008,0.817,0.176,WELL
-0.9994,REBGLO,0.194,0.742,0.064,WELL
0.9949,REBGLO,0.005,0.857,0.138,WELL
0.9902,REBGLO,0.006,0.866,0.129,WELL
0.997,REBGLO,0.079,0.799,0.121,WELL
0.9971,REBGLO,0.015,0.895,0.089,WELL
0.9996,REBGLO,0.04,0.761,0.199,WELL
0.9987,REBGLO,0.046,0.82,0.134,WELL
0.997,REBGLO,0.079,0.799,0.121,WELL
0.4939,REBGLO,0.0,0.936,0.064,WELL
0.9991,REBGLO,0.049,0.824,0.127,WELL
-0.6808,REBGLO,0.322,0.577,0.101,WELL
0.9022,REBGLO,0.015,0.805,0.18,WELL
0.9789,REBGLO,0.007,0.89,0.103,WELL
0.9978,REBGLO,0.008,0.818,0.174,WELL
0.9976,REBGLO,0.004,0.84,0.156,WELL
0.9826,REBGLO,0.011,0.913,0.076,WELL
-0.866,REBGLO,0.163,0.718,0.119,WELL
0.7096,REBGLO,0.0,0.808,0.192,WELL
-0.494,REBGLO,0.044,0.917,0.039,WELL
0.9542,REBGLO,0.1,0.637,0.263,WELL
0.1901,REBGLO,0.107,0.777,0.116,WELL
0.8467,REBGLO,0.056,0.856,0.088,WELL
0.0516,REBGLO,0.046,0.895,0.059,WELL
0.9857,REBGLO,0.037,0.809,0.154,WELL
0.9957,REBGLO,0.011,0.833,0.156,WELL
0.999,REBGLO,0.042,0.855,0.102,WELL
0.9444,REBGLO,0.01,0.904,0.086,WELL
0.63,REBGLO,0.086,0.791,0.122,WELL
0.9992,REBGLO,0.044,0.814,0.142,WELL
0.9896,REBGLO,0.014,0.866,0.12,WELL
0.9992,REBGLO,0.041,0.827,0.131,WELL
0.9891,REBGLO,0.031,0.823,0.146,WELL
0.9531,REBGLO,0.01,0.919,0.07,WELL
0.6777,REBGLO,0.081,0.775,0.144,WELL
0.6757,REBGLO,0.036,0.885,0.08,WELL
0.9695,REBGLO,0.08,0.75,0.171,WELL
0.9949,REBGLO,0.005,0.855,0.14,WELL
0.9671,REBGLO,0.052,0.851,0.097,WELL
0.7269,REBGLO,0.035,0.903,0.063,WELL
0.8316,REBGLO,0.016,0.92,0.064,WELL
0.9994,REBGLO,0.074,0.777,0.149,WELL
1.0,REBGLO,0.014,0.782,0.205,WELL
0.9995,REBGLO,0.009,0.89,0.101,WELL
0.9998,REBGLO,0.024,0.86,0.117,WELL
0.9923,REBGLO,0.043,0.859,0.098,WELL
0.999,REBGLO,0.048,0.837,0.115,WELL
0.9997,REBGLO,0.027,0.861,0.113,WELL
-1.0,REBGLO,0.153,0.766,0.081,WELL
-0.5984,REBGLO,0.117,0.842,0.041,WELL
0.9997,REBGLO,0.021,0.851,0.128,WELL
0.9999,REBGLO,0.015,0.856,0.128,WELL
0.9993,REBGLO,0.021,0.886,0.092,WELL
0.9984,REBGLO,0.042,0.86,0.098,WELL
1.0,REBGLO,0.053,0.852,0.094,WELL
1.0,REBGLO,0.065,0.821,0.114,WELL
0.9999,REBGLO,0.044,0.829,0.127,WELL
0.9565,REBGLO,0.044,0.82,0.137,WELL
0.9944,REBGLO,0.024,0.877,0.1,WELL
0.9686,REBGLO,0.039,0.758,0.203,WELL
0.9831,REBGLO,0.025,0.89,0.085,WELL
0.6757,REBGLO,0.035,0.885,0.079,WELL
0.998,REBGLO,0.022,0.821,0.157,WELL
0.9996,REBGLO,0.007,0.853,0.139,WELL
0.7402,REBGLO,0.032,0.9,0.068,WELL
0.9996,REBGLO,0.007,0.853,0.139,WELL
0.997,REBGLO,0.003,0.875,0.122,WELL
0.998,REBGLO,0.022,0.822,0.157,WELL
0.9745,REBGLO,0.024,0.886,0.09,WELL
0.8773,REBGLO,0.039,0.866,0.095,WELL
0.8696,REBGLO,0.066,0.845,0.089,WELL
0.9913,REBGLO,0.005,0.873,0.122,WELL
0.9993,REBGLO,0.04,0.808,0.152,WELL
0.8981,REBGLO,0.056,0.771,0.172,WELL
0.9991,REBGLO,0.028,0.806,0.166,WELL
0.9794,REBGLO,0.049,0.891,0.06,WELL
0.9985,REBGLO,0.029,0.807,0.164,WELL
0.991,REBGLO,0.033,0.796,0.171,WELL
0.9565,REBGLO,0.044,0.82,0.137,WELL
0.8533,REBGLO,0.033,0.763,0.204,WELL
0.9661,REBGLO,0.0,0.866,0.134,WELL
0.5424,REBGLO,0.074,0.844,0.082,WELL
0.9947,REBGLO,0.034,0.876,0.09,WELL
0.9976,REBGLO,0.0,0.837,0.163,WELL
0.9949,REBGLO,0.005,0.855,0.14,WELL
0.0,REBGLO,0.0,1.0,0.0,WELL
0.9941,REBGLO,0.034,0.878,0.088,WELL
-0.1476,REBGLO,0.056,0.891,0.053,WELL
0.9982,REBGLO,0.035,0.811,0.155,WELL
0.9963,REBGLO,0.034,0.863,0.103,WELL
