compound,name,negative,neutral,positive,ticker
0.9842,REBGLO,0.022,0.89,0.088,WINGS
0.354,REBGLO,0.071,0.85,0.079,WINGS
0.8609,REBGLO,0.057,0.836,0.106,WINGS
0.9631,REBGLO,0.014,0.937,0.048,WINGS
0.7003,REBGLO,0.005,0.974,0.021,WINGS
0.9998,REBGLO,0.03,0.804,0.166,WINGS
0.9893,REBGLO,0.033,0.875,0.093,WINGS
0.9036,REBGLO,0.0,0.936,0.064,WINGS
0.9693,REBGLO,0.065,0.823,0.112,WINGS
0.3612,REBGLO,0.007,0.977,0.016,WINGS
-0.9109,REBGLO,0.109,0.793,0.098,WINGS
-0.9893,REBGLO,0.099,0.807,0.094,WINGS
-0.9893,REBGLO,0.099,0.807,0.094,WINGS
