compound,name,negative,neutral,positive,ticker
0.9794,REBGLO,0.049,0.891,0.06,WRT
-0.9999,REBGLO,0.137,0.772,0.091,WRT
1.0,REBGLO,0.027,0.826,0.147,WRT
1.0,REBGLO,0.054,0.795,0.151,WRT
0.9881,REBGLO,0.113,0.761,0.127,WRT
0.9998,REBGLO,0.056,0.849,0.095,WRT
0.9511,REBGLO,0.099,0.798,0.103,WRT
-0.8724,REBGLO,0.133,0.761,0.106,WRT
-0.9886,REBGLO,0.153,0.769,0.078,WRT
0.9983,REBGLO,0.027,0.876,0.097,WRT
0.9866,REBGLO,0.052,0.842,0.106,WRT
0.885,REBGLO,0.025,0.927,0.048,WRT
0.6871,REBGLO,0.076,0.814,0.111,WRT
0.9901,REBGLO,0.034,0.907,0.059,WRT
0.9885,REBGLO,0.034,0.845,0.121,WRT
0.9978,REBGLO,0.047,0.827,0.126,WRT
0.9904,REBGLO,0.029,0.896,0.076,WRT
0.9674,REBGLO,0.054,0.834,0.112,WRT
0.9901,REBGLO,0.034,0.907,0.059,WRT
0.9919,REBGLO,0.032,0.908,0.06,WRT
