compound,name,negative,neutral,positive,ticker
0.8175,REBGLO,0.029,0.871,0.1,XTZ
-0.9532,REBGLO,0.149,0.764,0.087,XTZ
0.4995,REBGLO,0.0,0.976,0.024,XTZ
-0.1537,REBGLO,0.108,0.777,0.115,XTZ
0.9883,REBGLO,0.012,0.849,0.139,XTZ
0.9983,REBGLO,0.005,0.857,0.138,XTZ
0.9984,REBGLO,0.023,0.824,0.153,XTZ
0.9985,REBGLO,0.023,0.823,0.154,XTZ
0.9825,REBGLO,0.0,0.845,0.155,XTZ
0.4215,REBGLO,0.01,0.973,0.017,XTZ
0.9904,REBGLO,0.04,0.837,0.123,XTZ
0.4995,REBGLO,0.0,0.976,0.024,XTZ
0.6369,REBGLO,0.0,0.979,0.021,XTZ
0.9974,REBGLO,0.03,0.83,0.14,XTZ
0.9973,REBGLO,0.031,0.83,0.14,XTZ
0.3182,REBGLO,0.0,0.933,0.067,XTZ
0.0,REBGLO,0.0,1.0,0.0,XTZ
0.0,REBGLO,0.0,1.0,0.0,XTZ
0.9897,REBGLO,0.0,0.888,0.112,XTZ
0.9926,REBGLO,0.0,0.88,0.12,XTZ
0.9897,REBGLO,0.0,0.884,0.116,XTZ
0.9915,REBGLO,0.0,0.889,0.111,XTZ
0.9883,REBGLO,0.015,0.855,0.131,XTZ
0.9897,REBGLO,0.0,0.884,0.116,XTZ
0.8555,REBGLO,0.05,0.879,0.071,XTZ
0.9976,REBGLO,0.034,0.753,0.213,XTZ
0.9601,REBGLO,0.0,0.911,0.089,XTZ
0.4215,REBGLO,0.0,0.811,0.189,XTZ
0.991,REBGLO,0.0,0.881,0.119,XTZ
0.9976,REBGLO,0.033,0.76,0.208,XTZ
0.0,REBGLO,0.0,1.0,0.0,XTZ
-0.4939,REBGLO,0.019,0.971,0.01,XTZ
0.9284,REBGLO,0.011,0.889,0.1,XTZ
0.9976,REBGLO,0.034,0.755,0.212,XTZ
0.9846,REBGLO,0.0,0.925,0.075,XTZ
0.6369,REBGLO,0.0,0.977,0.023,XTZ
0.6249,REBGLO,0.02,0.919,0.061,XTZ
0.4995,REBGLO,0.0,0.976,0.024,XTZ
0.9871,REBGLO,0.005,0.855,0.14,XTZ
0.9685,REBGLO,0.067,0.82,0.113,XTZ
0.9976,REBGLO,0.033,0.76,0.208,XTZ
-0.5871,REBGLO,0.079,0.853,0.068,XTZ
0.7845,REBGLO,0.0,0.9,0.1,XTZ
0.9976,REBGLO,0.037,0.746,0.218,XTZ
0.8286,REBGLO,0.0,0.982,0.018,XTZ
-0.5871,REBGLO,0.071,0.868,0.061,XTZ
0.9682,REBGLO,0.011,0.906,0.083,XTZ
0.9621,REBGLO,0.025,0.907,0.068,XTZ
0.8329,REBGLO,0.071,0.836,0.093,XTZ
