compound,name,negative,neutral,positive,ticker
-0.9555,REBGLO,0.281,0.69,0.029,YOU
-0.9555,REBGLO,0.281,0.69,0.029,YOU
-0.9937,REBGLO,0.119,0.821,0.061,YOU
0.9972,REBGLO,0.022,0.895,0.083,YOU
0.9996,REBGLO,0.074,0.817,0.109,YOU
0.9418,REBGLO,0.0,0.88,0.12,YOU
0.7919,REBGLO,0.073,0.744,0.182,YOU
0.0,REBGLO,0.0,1.0,0.0,YOU
-0.8719,REBGLO,0.061,0.913,0.026,YOU
-0.8901,REBGLO,0.066,0.916,0.018,YOU
-0.8978,REBGLO,0.057,0.924,0.018,YOU
0.8895,REBGLO,0.0,0.863,0.137,YOU
0.9343,REBGLO,0.0,0.707,0.293,YOU
0.9038,REBGLO,0.019,0.903,0.078,YOU
0.9162,REBGLO,0.044,0.848,0.108,YOU
0.9428,REBGLO,0.0,0.847,0.153,YOU
0.9274,REBGLO,0.013,0.881,0.105,YOU
0.7912,REBGLO,0.061,0.813,0.126,YOU
0.9886,REBGLO,0.0,0.72,0.28,YOU
0.7783,REBGLO,0.0,0.93,0.07,YOU
0.9138,REBGLO,0.029,0.851,0.12,YOU
0.9974,REBGLO,0.005,0.837,0.158,YOU
0.9875,REBGLO,0.009,0.887,0.104,YOU
0.9311,REBGLO,0.004,0.93,0.066,YOU
-0.9935,REBGLO,0.129,0.806,0.065,YOU
0.9945,REBGLO,0.026,0.886,0.087,YOU
0.9905,REBGLO,0.039,0.784,0.177,YOU
0.9956,REBGLO,0.009,0.818,0.174,YOU
0.7964,REBGLO,0.023,0.915,0.062,YOU
-0.594,REBGLO,0.097,0.903,0.0,YOU
0.9326,REBGLO,0.021,0.881,0.097,YOU
0.9531,REBGLO,0.051,0.837,0.112,YOU
0.755,REBGLO,0.0,0.919,0.081,YOU
0.8205,REBGLO,0.029,0.854,0.117,YOU
0.9552,REBGLO,0.033,0.871,0.095,YOU
0.9977,REBGLO,0.0,0.806,0.194,YOU
0.9953,REBGLO,0.0,0.68,0.32,YOU
0.997,REBGLO,0.079,0.799,0.121,YOU
0.9971,REBGLO,0.015,0.895,0.089,YOU
0.9968,REBGLO,0.03,0.842,0.129,YOU
0.9996,REBGLO,0.04,0.761,0.199,YOU
0.9987,REBGLO,0.046,0.82,0.134,YOU
0.9975,REBGLO,0.05,0.838,0.112,YOU
0.997,REBGLO,0.079,0.799,0.121,YOU
0.9979,REBGLO,0.0,0.807,0.193,YOU
0.9949,REBGLO,0.034,0.888,0.078,YOU
-0.6793,REBGLO,0.164,0.736,0.1,YOU
0.9278,REBGLO,0.017,0.842,0.14,YOU
-0.6793,REBGLO,0.227,0.635,0.138,YOU
0.823,REBGLO,0.036,0.873,0.092,YOU
0.9991,REBGLO,0.049,0.824,0.127,YOU
0.4738,REBGLO,0.0,0.949,0.051,YOU
0.6369,REBGLO,0.044,0.806,0.149,YOU
0.98,REBGLO,0.011,0.83,0.159,YOU
0.3164,REBGLO,0.0,0.887,0.113,YOU
0.9528,REBGLO,0.0,0.81,0.19,YOU
0.9842,REBGLO,0.022,0.89,0.088,YOU
0.9774,REBGLO,0.02,0.84,0.14,YOU
-0.296,REBGLO,0.023,0.977,0.0,YOU
0.0129,REBGLO,0.11,0.766,0.124,YOU
-0.797,REBGLO,0.264,0.656,0.08,YOU
-0.866,REBGLO,0.163,0.718,0.119,YOU
0.995,REBGLO,0.032,0.808,0.16,YOU
0.2042,REBGLO,0.018,0.955,0.027,YOU
0.2819,REBGLO,0.119,0.724,0.156,YOU
0.9662,REBGLO,0.037,0.881,0.082,YOU
0.6826,REBGLO,0.081,0.812,0.107,YOU
0.9893,REBGLO,0.016,0.913,0.071,YOU
-0.494,REBGLO,0.044,0.917,0.039,YOU
0.9464,REBGLO,0.009,0.863,0.128,YOU
-0.1766,REBGLO,0.095,0.804,0.101,YOU
-0.962,REBGLO,0.147,0.779,0.074,YOU
-0.7845,REBGLO,0.162,0.838,0.0,YOU
0.7518,REBGLO,0.074,0.83,0.097,YOU
0.8675,REBGLO,0.021,0.89,0.089,YOU
-0.8273,REBGLO,0.067,0.893,0.039,YOU
0.9816,REBGLO,0.016,0.867,0.118,YOU
-0.9216,REBGLO,0.071,0.904,0.025,YOU
-0.7252,REBGLO,0.059,0.907,0.034,YOU
-0.973,REBGLO,0.096,0.878,0.026,YOU
-0.5493,REBGLO,0.048,0.916,0.036,YOU
0.0516,REBGLO,0.046,0.895,0.059,YOU
0.966,REBGLO,0.008,0.905,0.087,YOU
0.8271,REBGLO,0.02,0.906,0.074,YOU
-0.0498,REBGLO,0.023,0.961,0.016,YOU
0.296,REBGLO,0.103,0.775,0.122,YOU
0.7003,REBGLO,0.046,0.825,0.13,YOU
0.995,REBGLO,0.032,0.807,0.161,YOU
0.9862,REBGLO,0.0,0.796,0.204,YOU
0.9857,REBGLO,0.037,0.809,0.154,YOU
0.9447,REBGLO,0.017,0.945,0.037,YOU
0.9982,REBGLO,0.086,0.787,0.127,YOU
0.5106,REBGLO,0.0,0.936,0.064,YOU
0.3182,REBGLO,0.0,0.941,0.059,YOU
0.1376,REBGLO,0.032,0.932,0.036,YOU
-0.9937,REBGLO,0.116,0.824,0.06,YOU
0.9413,REBGLO,0.011,0.949,0.04,YOU
-0.6444,REBGLO,0.085,0.831,0.084,YOU
0.9957,REBGLO,0.011,0.833,0.156,YOU
0.8937,REBGLO,0.0,0.786,0.214,YOU
