compound,name,negative,neutral,positive,ticker
-1.0,REBGLO,0.089,0.883,0.029,ZRX
0.9994,REBGLO,0.024,0.87,0.106,ZRX
0.0,REBGLO,0.0,1.0,0.0,ZRX
0.9755,REBGLO,0.027,0.926,0.048,ZRX
0.9984,REBGLO,0.023,0.824,0.153,ZRX
0.9985,REBGLO,0.023,0.823,0.154,ZRX
0.8268,REBGLO,0.0,0.906,0.094,ZRX
0.9796,REBGLO,0.014,0.97,0.016,ZRX
0.9985,REBGLO,0.019,0.849,0.131,ZRX
0.9986,REBGLO,0.019,0.847,0.134,ZRX
0.9985,REBGLO,0.019,0.849,0.131,ZRX
0.9985,REBGLO,0.019,0.849,0.131,ZRX
0.9981,REBGLO,0.015,0.95,0.035,ZRX
0.9998,REBGLO,0.03,0.804,0.166,ZRX
0.6705,REBGLO,0.0,0.894,0.106,ZRX
0.859,REBGLO,0.048,0.881,0.072,ZRX
0.9578,REBGLO,0.004,0.915,0.081,ZRX
0.9497,REBGLO,0.007,0.921,0.072,ZRX
0.7239,REBGLO,0.084,0.818,0.098,ZRX
0.9999,REBGLO,0.031,0.881,0.088,ZRX
0.8176,REBGLO,0.012,0.897,0.091,ZRX
0.9153,REBGLO,0.009,0.894,0.097,ZRX
0.6369,REBGLO,0.004,0.974,0.021,ZRX
0.9274,REBGLO,0.015,0.902,0.084,ZRX
0.9738,REBGLO,0.0,0.902,0.098,ZRX
0.9153,REBGLO,0.009,0.894,0.097,ZRX
0.9081,REBGLO,0.023,0.895,0.083,ZRX
0.8779,REBGLO,0.0,0.933,0.067,ZRX
0.8779,REBGLO,0.0,0.932,0.068,ZRX
0.9274,REBGLO,0.014,0.907,0.079,ZRX
0.0,REBGLO,0.0,1.0,0.0,ZRX
0.9325,REBGLO,0.008,0.892,0.1,ZRX
0.8957,REBGLO,0.005,0.935,0.06,ZRX
0.9274,REBGLO,0.015,0.902,0.083,ZRX
0.8723,REBGLO,0.035,0.878,0.087,ZRX
0.9638,REBGLO,0.013,0.895,0.092,ZRX
0.9648,REBGLO,0.022,0.837,0.141,ZRX
-0.7998,REBGLO,0.016,0.976,0.007,ZRX
0.895,REBGLO,0.02,0.877,0.103,ZRX
0.9313,REBGLO,0.003,0.963,0.034,ZRX
0.8074,REBGLO,0.012,0.916,0.072,ZRX
-0.9986,REBGLO,0.042,0.935,0.023,ZRX
0.9919,REBGLO,0.008,0.902,0.091,ZRX
0.9874,REBGLO,0.008,0.911,0.081,ZRX
0.9915,REBGLO,0.043,0.811,0.146,ZRX
0.9571,REBGLO,0.0,0.987,0.013,ZRX
0.8924,REBGLO,0.03,0.925,0.045,ZRX
-0.8932,REBGLO,0.022,0.956,0.022,ZRX
0.9559,REBGLO,0.0,0.906,0.094,ZRX
0.2732,REBGLO,0.0,0.989,0.011,ZRX
0.9438,REBGLO,0.027,0.926,0.047,ZRX
