compound,name,negative,neutral,positive,ticker
0.4824,REBGLO,0.015,0.965,0.02,eFIC
0.9972,REBGLO,0.022,0.895,0.083,eFIC
0.9996,REBGLO,0.074,0.817,0.109,eFIC
0.9899,REBGLO,0.028,0.841,0.131,eFIC
0.9874,REBGLO,0.014,0.86,0.126,eFIC
-0.7096,REBGLO,0.018,0.978,0.004,eFIC
0.9524,REBGLO,0.019,0.897,0.084,eFIC
-0.0772,REBGLO,0.005,0.991,0.004,eFIC
0.6249,REBGLO,0.0,0.863,0.137,eFIC
-0.0943,REBGLO,0.02,0.963,0.017,eFIC
0.5622,REBGLO,0.013,0.966,0.021,eFIC
0.9977,REBGLO,0.0,0.806,0.194,eFIC
-0.3612,REBGLO,0.01,0.985,0.005,eFIC
0.9971,REBGLO,0.015,0.895,0.089,eFIC
0.9987,REBGLO,0.046,0.82,0.134,eFIC
0.9975,REBGLO,0.05,0.838,0.112,eFIC
0.9979,REBGLO,0.0,0.807,0.193,eFIC
0.9966,REBGLO,0.067,0.754,0.179,eFIC
0.9826,REBGLO,0.011,0.913,0.076,eFIC
-0.9636,REBGLO,0.06,0.917,0.023,eFIC
0.9893,REBGLO,0.016,0.913,0.071,eFIC
0.9464,REBGLO,0.009,0.863,0.128,eFIC
0.5396,REBGLO,0.015,0.896,0.089,eFIC
0.8976,REBGLO,0.051,0.86,0.089,eFIC
0.999,REBGLO,0.042,0.855,0.102,eFIC
0.8481,REBGLO,0.0,0.977,0.023,eFIC
0.4019,REBGLO,0.009,0.978,0.013,eFIC
0.7717,REBGLO,0.005,0.974,0.021,eFIC
0.9992,REBGLO,0.041,0.827,0.131,eFIC
0.9891,REBGLO,0.031,0.823,0.146,eFIC
-0.8429,REBGLO,0.087,0.85,0.063,eFIC
0.9775,REBGLO,0.03,0.909,0.061,eFIC
0.4939,REBGLO,0.016,0.964,0.021,eFIC
0.946,REBGLO,0.026,0.848,0.126,eFIC
-0.7096,REBGLO,0.025,0.969,0.005,eFIC
-0.5719,REBGLO,0.021,0.973,0.006,eFIC
0.7456,REBGLO,0.01,0.967,0.023,eFIC
1.0,REBGLO,0.014,0.782,0.205,eFIC
0.9998,REBGLO,0.024,0.86,0.117,eFIC
-1.0,REBGLO,0.153,0.766,0.081,eFIC
0.9993,REBGLO,0.021,0.886,0.092,eFIC
0.9984,REBGLO,0.042,0.86,0.098,eFIC
1.0,REBGLO,0.065,0.821,0.114,eFIC
0.9992,REBGLO,0.035,0.866,0.099,eFIC
0.9864,REBGLO,0.03,0.899,0.071,eFIC
0.9944,REBGLO,0.023,0.866,0.111,eFIC
0.9831,REBGLO,0.025,0.89,0.085,eFIC
0.9864,REBGLO,0.029,0.901,0.069,eFIC
0.998,REBGLO,0.022,0.821,0.157,eFIC
0.9996,REBGLO,0.007,0.853,0.139,eFIC
0.9996,REBGLO,0.007,0.853,0.139,eFIC
0.997,REBGLO,0.003,0.875,0.122,eFIC
0.998,REBGLO,0.022,0.822,0.157,eFIC
0.9755,REBGLO,0.017,0.839,0.145,eFIC
0.9085,REBGLO,0.032,0.824,0.143,eFIC
0.9745,REBGLO,0.024,0.886,0.09,eFIC
0.9977,REBGLO,0.0,0.804,0.196,eFIC
0.9991,REBGLO,0.028,0.806,0.166,eFIC
0.9794,REBGLO,0.049,0.891,0.06,eFIC
0.8428,REBGLO,0.0,0.855,0.145,eFIC
0.368,REBGLO,0.01,0.977,0.013,eFIC
0.0857,REBGLO,0.014,0.973,0.013,eFIC
0.368,REBGLO,0.01,0.977,0.013,eFIC
0.3612,REBGLO,0.007,0.979,0.014,eFIC
0.995,REBGLO,0.008,0.784,0.208,eFIC
0.9955,REBGLO,0.009,0.889,0.102,eFIC
0.9977,REBGLO,0.015,0.875,0.11,eFIC
0.0258,REBGLO,0.155,0.68,0.165,eFIC
-0.5379,REBGLO,0.116,0.839,0.045,eFIC
-0.8271,REBGLO,0.047,0.938,0.014,eFIC
0.9931,REBGLO,0.008,0.891,0.101,eFIC
-0.25,REBGLO,0.014,0.975,0.011,eFIC
0.8286,REBGLO,0.0,0.981,0.019,eFIC
0.0258,REBGLO,0.156,0.678,0.166,eFIC
0.9901,REBGLO,0.014,0.842,0.144,eFIC
0.9847,REBGLO,0.025,0.872,0.103,eFIC
-0.2263,REBGLO,0.008,0.988,0.004,eFIC
0.6369,REBGLO,0.0,0.983,0.017,eFIC
0.7568,REBGLO,0.019,0.946,0.034,eFIC
0.9961,REBGLO,0.026,0.812,0.162,eFIC
0.9948,REBGLO,0.047,0.86,0.093,eFIC
-1.0,REBGLO,0.089,0.883,0.029,eFIC
0.9925,REBGLO,0.023,0.859,0.118,eFIC
0.9934,REBGLO,0.026,0.856,0.118,eFIC
0.9978,REBGLO,0.057,0.819,0.124,eFIC
0.9928,REBGLO,0.022,0.865,0.113,eFIC
0.9988,REBGLO,0.046,0.831,0.123,eFIC
0.9937,REBGLO,0.018,0.866,0.116,eFIC
-0.0667,REBGLO,0.118,0.748,0.134,eFIC
0.9945,REBGLO,0.015,0.861,0.125,eFIC
-0.0772,REBGLO,0.007,0.987,0.006,eFIC
-0.4767,REBGLO,0.029,0.955,0.016,eFIC
-0.5719,REBGLO,0.021,0.973,0.006,eFIC
0.9978,REBGLO,0.058,0.817,0.125,eFIC
0.9988,REBGLO,0.028,0.852,0.12,eFIC
0.9577,REBGLO,0.042,0.885,0.072,eFIC
0.9826,REBGLO,0.061,0.809,0.13,eFIC
0.0258,REBGLO,0.153,0.684,0.163,eFIC
0.9694,REBGLO,0.023,0.9,0.076,eFIC
0.9231,REBGLO,0.013,0.915,0.071,eFIC
