rank_cnc,Name,Ticker,market_cap,price,volume24,pct1h,pct24h,pct7d,country,platform,pre_ico_end,pre_ico_start,rating,status,type,End,Start,Duration,pre_Duration,compound,negative,neutral,positive,no_of_posts,Longevity,custom_index,custom_index_scaled,success
2, Ethereum,ETH,"20,155,411,771",185.67,"7,906,136,399",-0.1,-1.2,-0.96,Switzerland,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,0.0,Trading,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0.46057,0.06116,0.027389999999999998,0.90151,100,779,144636.93,0.1291616030122866,1
7, Binance Coin,BNB,"3,277,372,658",21.07,"231,846,713",-0.46,-1.33,2.49,Japan,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,0.0,Trading,ICO,2017-07-21 07:00:00,2017-07-01 07:00:00,20 days 00:00:00.000000000,0 days 00:00:00.000000000,0.563773,0.09667,0.04141,0.8618899999999999,100,848,17867.36,0.015955654320809164,1
8, EOS,EOS,"3,214,893,394",3.42,"1,735,988,258",0.11,-1.49,-2.55,Cayman Islands,Own Blockchain,2017-09-28 03:00:00,2017-09-28 03:00:00,4.6,Trading,ICO,2018-06-12 00:00:00,2017-06-26 16:00:00,350 days 08:00:00.000000000,0 days 00:00:00.000000000,0.82847,0.0322,0.85855,0.10927,100,522,1785.24,0.0015942294806824437,0
13, Cardano,ADA,"1,105,888,653",0.042654,"53,437,224",-0.5,-1.72,-2.12,Switzerland,Own Blockchain,2017-09-28 03:00:00,2017-09-28 03:00:00,0.0,Closed,ICO,2017-01-01 00:00:00,2015-09-01 00:00:00,488 days 00:00:00.000000000,0 days 00:00:00.000000000,0.589474194,0.09838709699999999,0.032946237,0.8687526879999999,93,1049,44.744046,3.9956671630176254e-05,0
16, Huobi Token,HT,"913,746,412",3.79,"252,881,495",-0.27,-1.89,-4.79,Seychelles,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,2.8,Unknown,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0.525717,0.08163,0.03348,0.88494,100,779,2952.4100000000003,0.0026365189444254524,1
18, Tezos,XTZ,"821,746,518",1.24,"44,390,717",-0.25,10.13,2.47,United States of America,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.3,Trading,ICO,2017-07-14 12:00:00,2017-07-01 12:00:00,13 days 00:00:00.000000000,0 days 00:00:00.000000000,0.6639387760000001,0.021938776,0.878857143,0.099326531,49,855,1060.2,0.0009467646274115145,0
19, Cosmos,ATOM,"760,265,147",3.99,"147,439,544",-1.62,1.29,2.14,Canada,,2017-09-28 03:00:00,2017-09-28 03:00:00,4.3,Closed,ICO,2017-04-06 13:00:00,2017-04-06 12:00:00,0 days 01:00:00.000000000,0 days 00:00:00.000000000,0.34049552200000005,0.060686567000000004,0.023223881000000002,0.91619403,67,954,3806.46,0.0033991904631499874,1
22, Dash,DASH,"632,251,075",69.07,"346,367,843",-0.12,-1.18,-5.06,,,2017-09-28 03:00:00,2017-09-28 03:00:00,0.0,Trading,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0.663146,0.10277,0.0251,0.87211,100,779,53805.53,0.04804864500528962,1
23, Ethereum Classic,ETC,"547,458,892",4.76,"642,121,534",-0.2,-2.1,-9.16,,,2017-09-28 03:00:00,2017-09-28 03:00:00,1.1,Unknown,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0.37732899999999997,0.07993,0.03785,0.88218,100,779,3708.04,0.0033113008420822877,1
29, Basic Attenti...,BAT,"347,237,523",0.256002,"73,875,875",-1.56,-1.64,1.16,United States of America,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.5,Trading,ICO,2017-05-31 23:00:00,2017-05-31 00:00:00,0 days 23:00:00.000000000,0 days 00:00:00.000000000,0.8302950000000001,0.0316,0.83791,0.13053,100,899,230.145798,0.00020552149309499646,0
32, Decred,DCR,"245,750,516",23.02,"16,965,158",1.2,4.69,14.03,,,2017-09-28 03:00:00,2017-09-28 03:00:00,2.2,Trading,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0.5372125,0.077875,0.019208333,0.903125,24,779,17932.58,0.016013896152612006,1
34, Qtum,QTUM,"224,670,479",2.34,"348,323,741",-0.52,0.08,5.38,Singapore,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.1,Trading,ICO,2017-03-21 12:00:00,2017-03-16 12:00:00,5 days 00:00:00.000000000,0 days 00:00:00.000000000,0.6787735290000001,0.021088235,0.9135588240000001,0.065382353,34,970,2269.7999999999997,0.002026944323037295,0
35, HedgeTrade,HEDG,"210,898,190",0.731445,"195,643",0.29,-1.2,-4.96,Canada,Ethereum,2018-08-31 00:00:00,2018-08-01 00:00:00,2.6,Closed,ICO,2018-11-17 00:00:00,2018-10-17 00:00:00,31 days 00:00:00.000000000,30 days 00:00:00.000000000,-0.11523333300000001,0.022333332999999997,0.029333333,0.948333333,3,364,266.24598,0.0002377591614190666,0
36, 0x,ZRX,"171,969,043",0.285660,"20,011,107",-1.93,-5.29,-7.94,United States of America,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.3,Trading,ICO,2017-08-16 17:00:00,2017-08-15 00:00:00,1 days 17:00:00.000000000,0 days 00:00:00.000000000,0.7294196079999999,0.017843137,0.9040980390000001,0.07807843099999999,51,822,234.81252,0.0002096889024448064,0
