ticker,compound,negative,neutral,positive,no_of_posts
1ST,0.260376,0.02819,0.92276,0.04911,100
21MCoin,0.477738,0.03135,0.8962,0.07246,100
3DT,0.991483333,0.060833333,0.818166667,0.120833333,6
8BT,0,0,0,0,0
A2A,0.427912,0.02964,0.89717,0.07318,100
ABCS,0.352683871,0.054129032,0.854290323,0.091645161,31
ABT,-0.987775,0.07925,0.8665,0.05375,4
ADBL,0,0,0,0,0
ADH,0.555266667,0.01,0.969666667,0.020333333,3
ADL,-0.0915,0.019,0.9665,0.014,2
ADM,0.513558065,0.059532258,0.83966129,0.100725806,62
ADT,0.7862,0,0.997,0.003,1
AE,0.171648,0.03718,0.91432,0.04855,100
AFI,0.413715,0.0309,0.89198,0.07713,100
AHT,-0.2941,0.0165,0.9715,0.012,2
AID,0.261839583,0.070229167,0.834625,0.0950625,48
AIOM,0,0,0,0,0
AIR,0.511825,0.05069,0.8378,0.11145,100
AIX,0.615841,0.0315,0.87847,0.08996,100
ALDO,0.9957,0.028,0.763,0.21,1
ALTC,0,0,0,0,0
ALX,0.908328571,0.006857143,0.940285714,0.053,7
AMBT,0.9983,0.007,0.879,0.114,1
AMM,-0.7096,0.021,0.974,0.005,1
AMN,-0.1793875,0.072375,0.85025,0.077125,8
AMP,0.479611111,0.050111111,0.864407407,0.085407407,27
ANK,0.620953,0.03162,0.87697,0.09134,100
ANT,0.466295455,0.032909091,0.900363636,0.066772727,22
APPC,0,0,0,0,0
AQUA,0.47682,0.0416,0.872,0.0862,5
AQUAX,0.9601,0.027,0.904,0.069,1
ARI,0.62825,0.038166667,0.884166667,0.0775,6
ARIA,0.482825,0.029,0.87975,0.091,4
ARK,0.6586,0.034666667,0.87425,0.091166667,12
ARN,0.399733333,0.008666667,0.917666667,0.073666667,3
ARNA,0.67744,0.043475,0.8509,0.105625,40
ARTX,0,0,0,0,0
ARX,0.612441,0.04543,0.84377,0.11086,100
AST,0.620953,0.03162,0.87697,0.09134,100
ASTOR,0,0,0,0,0
ASTRO,0.647528571,0.048714286,0.850142857,0.100857143,7
ASk,0.602757,0.05379,0.82987,0.1162,100
ATB,0.383569,0.03133,0.89444,0.07423,100
ATK,0,0,0,0,0
ATL,0.977466667,0.015,0.856333333,0.128666667,3
AUC,-0.2124,0.0415,0.9245,0.03375,4
AVINOC,0,0,0,0,0
AVT,0.65645,0.0075,0.91725,0.07475,4
AXION,-0.20250625,0.06125,0.8784375,0.060375,16
AXIS,0.123854545,0.054727273,0.860727273,0.084454545,11
Arcona,0,0,0,0,0
B21,0,0,0,0,0
BANG,0.517372727,0.046136364,0.855477273,0.098431818,44
BAT,0.830295,0.0316,0.83791,0.13053,100
BAX,0,0,0,0,0
BBCoin,0.4588,0.007,0.974,0.019,1
BBT,-0.10056,0.0174,0.9697,0.0128,10
BC,0.746697183,0.025394366,0.892535211,0.082042254,71
BCAP,0.636412,0.04319,0.85113,0.10566,100
BCOIN,0,0,0,0,0
BDG,0,0,0,0,0
BDP,0.2263,0,0.994,0.006,1
BEAT,0.61388,0.05682,0.83289,0.11027,100
BEE,0.975333333,0.047,0.833333333,0.119666667,3
BEEF,0.336692308,0.069230769,0.820923077,0.109769231,13
BENJA,0,0,0,0,0
BERRY,0,0,0,0,0
BETH,0.57733,0.0464,0.8735,0.0804,10
BFC,0,0,0,0,0
BFDT,0,0,0,0,0
BHM,-0.4287,0.086,0.825,0.09,1
BID,0.468074,0.03813,0.88265,0.07933,100
BINARY,0.292891358,0.048666667,0.867987654,0.083308642,81
BINK,0,0,0,0,0
BIRD,0.12525,0.060735294,0.842911765,0.096352941,34
BITTO,0.403684,0.03033,0.89827,0.07138,100
BKT,0,0,0,0,0
BKX,0.49565,0.005,0.8785,0.11625,4
BLCK,0.777274,0.04188,0.85181,0.10624,100
BLOCKPAY,0,0,0,0,0
BLS,0.641483,0.04379,0.8558,0.10036,100
BMK,0,0,0,0,0
BMT,0,0,0,0,0
BNE,0.502275,0,0.9755,0.0245,4
BNT,-0.036371605,0.014802469,0.970358025,0.014839506,81
BON,0.0091,0.0625,0.865,0.0725,2
BOOL,0.619153333,0.0132,0.952166667,0.0346,30
BOS,0.712566667,0.034166667,0.844666667,0.121,6
BOTC,0,0,0,0,0
BPL,0,0,0,0,0
BPS,0.55434,0.0478,0.8708,0.0812,5
BPX,0.9981,0.015,0.95,0.035,1
BQX,0,0,0,0,0
BRM,0,0,0,0,0
BTD,0.4588,0.01,0.963,0.028,1
BTF,0,0,0,0,0
BTT,0.966138462,0.035923077,0.834923077,0.129461538,13
BUNNY,0.5634,0.02725,0.88775,0.085,4
BXY,0.425446,0.02942,0.8969,0.07367,100
C4F,0,0,0,0,0
CABS,0.819585714,0.033714286,0.870928571,0.095428571,14
CADV,0,0,0,0,0
CAN,0.52186,0.03694,0.86846,0.09452,100
CAPP,-0.4767,0.021,0.968,0.011,1
CASH,0.5803,0.024,0.941,0.035,1
CBC,0.203209804,0.026784314,0.934764706,0.038392157,51
CC,0.658199,0.0448,0.84097,0.11418,100
CCET,0.616393,0.04331,0.85349,0.10311,100
CCH,-0.35684,0.0166,0.9758,0.0072,5
CCO,-0.25,0.012,0.979,0.009,1
CDG,0.0941,0.005,0.987,0.008333333,3
CDL,0.711671429,0.064285714,0.836,0.099285714,7
CDRT,0,0,0,0,0
CDT,0,0,0,0,0
CEEK,-0.2263,0.016,0.973,0.011,1
CFI,0.340415385,0.015307692,0.952615385,0.032307692,13
CHBR,0,0,0,0,0
CHIP,0.539773,0.04757,0.85812,0.09432,100
CHK,0.412296,0.02602,0.90931,0.06461,100
CHSB,0.14555,0.0105,0.9775,0.012,2
CHX,0.9994,0.024,0.87,0.106,1
CID,0.283355,0.04119,0.89179,0.06699,100
CIF,-0.999466667,0.077666667,0.905666667,0.016333333,3
CIX,0,0,0,0,0
