,Name,Compound,Description,Duration,End,Negative,Neutral,Positive,Price(USD),ROI(Pct),Start,Ticker,Timezone
i,SaltMine,0.17255000000000004,,,,0.0,0.94575,0.054249999999999986,,,,,
i,VANM,-0.128,,,,0.048,0.952,0.0,,,,,
i,Weave,0.34332500000000005,,,,0.014350000000000002,0.88825,0.09735000000000002,,,,,
i,PRIMARY,0.15466000000000002,,,,0.03155,0.8734,0.09509999999999999,,,,,
i,Blue Chip Vision,,,,,,,,,,,,
i,Raido Financial,,,,,,,,,,,,
i,Lynked.World,,,,,,,,,,,,
i,Pantercon,,,,,,,,,,,,
i,Buying.com,0.0,,,,0.0,1.0,0.0,,,,,
i,Football Bitcademy,,,,,,,,,,,,
i,Superwallet,0.0,,,,0.0,1.0,0.0,,,,,
i,HUSSY io,,,,,,,,,,,,
i,REuse cash,0.38749999999999996,,,,0.03925,0.8359999999999999,0.12425,,,,,
i,MOBU,,,,,,,,,,,,
i,Gigzi,,,,,,,,,,,,
i,Verasity,0.086045,,,,0.10434999999999998,0.7645000000000001,0.13115000000000002,,,,,
i,InnovaMinex,0.71095,,,,0.0,0.7585,0.2415,,,,,
i,DINNGO,0.0,,,,0.0,1.0,0.0,,,,,
i,GaxCoin,,,,,,,,,,,,
i,REBGLO,,,,,,,,,,,,
i,Vite,0.10339499999999999,,,,0.0,0.9722999999999999,0.027699999999999995,,,,,
i,Bithemoth,,,,,,,,,,,,
i,Dominium,0.8268,,,,0.0,0.707,0.293,,,,,
i,Treon,0.0,,,,0.0,1.0,0.0,,,,,
i,Verv (VLUX),,,,,,,,,,,,
i,genEOS,,,,,,,,,,,,
i,LaneAxis,,,,,,,,,,,,
i,Tanibox,,,,,,,,,,,,
i,NHCT,,,,,,,,,,,,
i,Modern Finance Chain,,,,,,,,,,,,
i,Verifier,0.2075875,,,,0.0,0.9185,0.08149999999999999,,,,,
i,AIAR,,,,,,,,,,,,
i,Empleos.io,,,,,,,,,,,,
i,One+1,0.12995,,,,0.0,0.9377000000000001,0.0623,,,,,
i,Arianee,0.09852,,,,0.0,0.9795999999999999,0.020399999999999998,,,,,
i,GOeureka,,,,,,,,,,,,
i,RecordsKeeper,,,,,,,,,,,,
i,Tkeycoin,0.2481,,,,0.057,0.841,0.102,,,,,
i,RevenYOU,0.0,,,,0.0,1.0,0.0,,,,,
i,Black Insurance,0.11487058823529413,,,,0.011588235294117647,0.9519999999999998,0.03641176470588235,,,,,
i,LUDCOIN,,,,,,,,,,,,
i,PlayChip,,,,,,,,,,,,
i,M2O,0.09531666666666666,,,,0.0,0.9768333333333333,0.02316666666666667,,,,,
i,Smart Trip Platform,,,,,,,,,,,,
i,JULLAR,,,,,,,,,,,,
i,VogoV,,,,,,,,,,,,
i,KamaGames Token Sale. Not an,,,,,,,,,,,,
i,Miner Edge,,,,,,,,,,,,
i,Argyle Coin,,,,,,,,,,,,
i,GNY,-0.06893333333333333,,,,0.043166666666666666,0.9033333333333333,0.0535,,,,,
i,Boomstarter.Network,0.325905,,,,0.0,0.8965,0.1035,,,,,
i,8 Circuit Studios – Wave 2,,,,,,,,,,,,
i,Curaizon,,,,,,,,,,,,
i,Giza Device,,,,,,,,,,,,
i,Cloudbric,0.0,,,,0.0,1.0,0.0,,,,,
i,dona,0.011394999999999997,,,,0.019450000000000002,0.9627000000000001,0.017849999999999998,,,,,
i,Wyzerr,,,,,,,,,,,,
i,SamBanx,,,,,,,,,,,,
i,Vibeo,,,,,,,,,,,,
i,Svper,,,,,,,,,,,,
i,100Tokens,,,,,,,,,,,,
i,CCET Project,,,,,,,,,,,,
i,Powerchain,0.47669999999999996,,,,0.0,0.8969999999999999,0.103,,,,,
i,Perlin,0.308125,,,,0.0035000000000000005,0.90465,0.09185000000000001,,,,,
i,RONALDINHO SOCCER COIN,,,,,,,,,,,,
i,ZICHAIN,,,,,,,,,,,,
i,Conventment,,,,,,,,,,,,
i,UTEMIS,,,,,,,,,,,,
i,Bidipass,0.614525,,,,0.0,0.8355,0.1645,,,,,
i,Sansox,,,,,,,,,,,,
i,Multiven MOM,,,,,,,,,,,,
i,Alchemy Coin,,,,,,,,,,,,
i,Varanida,,,,,,,,,,,,
i,RAWG,0.0,,,,0.0,1.0,0.0,,,,,
i,Provoco,-0.5851,,,,0.2395,0.7605,0.0,,,,,
i,Gabro,,,,,,,,,,,,
i,Accounting Blockchain,0.17012999999999998,,,,0.03855,0.87835,0.08315000000000002,,,,,
i,Tutellus,0.0,,,,0.0,1.0,0.0,,,,,
i,Ubex,0.18076666666666666,,,,0.0,0.9543333333333334,0.04566666666666667,,,,,
i,LEXIT,0.07840000000000003,,,,0.06225000000000001,0.8248,0.11295,,,,,
i,Invest in Brokers,0.22351249999999998,,,,0.003875,0.889125,0.106875,,,,,
i,Techrod,,,,,,,,,,,,
i,CitiCash,,,,,,,,,,,,
i,Beaxy Exchange,0.0,,,,0.0,1.0,0.0,,,,,
i,PingPaid,,,,,,,,,,,,
i,Chynge,,,,,,,,,,,,
i,MedBlox,,,,,,,,,,,,
i,Viva,0.11686,,,,0.0087,0.92995,0.061349999999999995,,,,,
i,DenchMusic,,,,,,,,,,,,
i,Pavocoin,,,,,,,,,,,,
i,WeiCrowd,,,,,,,,,,,,
i,Fysical,,,,,,,,,,,,
i,ImmVRse,,,,,,,,,,,,
i,EO.Trade,,,,,,,,,,,,
i,TruePlay,0.0358,,,,0.048,0.911,0.041,,,,,
i,Lantah,,,,,,,,,,,,
i,IOTW,0.4789549999999999,,,,0.024,0.7659,0.2101,,,,,
i,LendChain,,,,,,,,,,,,
i,Ubcoin Market,,,,,,,,,,,,
i,Trilliant,,,,,,,,,,,,
i,IAME Identity,,,,,,,,,,,,
i,ArticleX,,,,,,,,,,,,
i,OSA DC,,,,,,,,,,,,
i,Tip Blockchain,0.22908,,,,0.0,0.9423999999999999,0.057600000000000005,,,,,
i,Lambda,0.019260000000000003,,,,0.017099999999999997,0.9550000000000001,0.027850000000000003,,,,,
i,AllSpark,0.0,,,,0.0,1.0,0.0,,,,,
i,Hybrid Betting,-0.128,,,,0.054,0.905,0.042,,,,,
i,B21,-0.0016000000000000014,,,,0.014600000000000002,0.9685,0.016900000000000002,,,,,
i,MetaMorph Pro,,,,,,,,,,,,
i,INGOT Coin,,,,,,,,,,,,
i,MIB COIN,,,,,,,,,,,,
i,MyDFS,,,,,,,,,,,,
i,Codex Protocol,0.0,,,,0.0,1.0,0.0,,,,,
i,BotChain,,,,,,,,,,,,
i,STREAMITY,,,,,,,,,,,,
i,Datareum,,,,,,,,,,,,
i,Starflow,,,,,,,,,,,,
i,Ligercoin,,,,,,,,,,,,
i,Bounty Angels,0.5983,,,,0.0,0.763,0.237,,,,,
i,PR Network,0.32447499999999996,,,,0.0052499999999999995,0.8774499999999998,0.11729999999999999,,,,,
i,SportsCastr FanChain,,,,,,,,,,,,
